"Edad","Mx","qx","lx","dx","Lx","Tx","P_x1","e_0"
25,0.000463131710898412,0.000463024490236237,1e+05,46.3024490236237,99976.8487754882,5429857.84183102,0.999768487754882,54.2985784183102
26,0.00049218132859683,0.000492060237166191,99953.6975509764,49.1832401225712,99929.1059309151,5329880.99305553,0.981587575275861,53.3235000169683
27,0.000523472468385714,0.000523335492524682,99904.5143108538,52.2835782023098,99878.3725217527,5229951.88712462,0.981251156252623,52.34950515701
28,0.00055740774891263,0.000557252440498413,99852.2307326515,55.6428992649807,99824.409283019,5130073.51460287,0.980902621156489,51.3766540513085
29,0.000594463172128459,0.000594286531400154,99796.5878333865,59.3077680290741,99766.933949372,5030249.10531985,0.980541329671229,50.4050209984935
30,0.000635199670460586,0.000634997995201938,99737.2800653575,63.3329728883962,99705.6135789133,4930482.17137048,0.980166601720805,49.4346965160826
31,0.000680231262830304,0.000679999984206313,99673.9470924691,67.7782824486599,99640.0579512447,4830776.55779156,0.979777715421452,48.465789694372
32,0.000730235103840199,0.000729968579499473,99606.1688100204,72.7093735556353,99569.8141232426,4731136.49984032,0.979373904638472,47.498428625079
33,0.000786007012003251,0.000785698229844263,99533.4594364647,78.2032628895061,99494.35780502,4631566.68571708,0.978954356077741,46.532761062862
34,0.000848487658789084,0.000848127845783972,99455.2561735752,84.3507721703875,99413.08078749,4532072.32791206,0.978518206784792,45.5689573611114
35,0.00091878511688439,0.00091836322765166,99370.9054014048,91.2585854191019,99325.2761086953,4432659.24712457,0.978064542312084,44.607214045389
36,0.000997955566748571,0.000997457857437858,99279.6468159857,99.0272638002604,99230.1331840856,4333333.97101587,0.977592395315943,43.6477577226648
37,0.00108689217625345,0.00108630182977353,99180.6195521855,107.740088497612,99126.7495079367,4234103.83783179,0.977100741865778,42.6908387641594
38,0.00118653842081929,0.00118583490148361,99072.8794636879,117.48407825852,99014.1374245586,4134977.08832385,0.976588493503103,41.7367205910211
39,0.00129789427003416,0.0012970525514969,98955.3953854294,128.350348069055,98891.2202113948,4035962.95089929,0.976054489466423,40.7856785896241
40,0.00142200433598912,0.00142099400617003,98827.0450373603,140.432638645584,98756.8287180375,3937071.7306879,0.97549749058292,39.8379990942716
41,0.00155991319079722,0.00155869747442181,98686.6123987147,153.822573505121,98609.7011119621,3838314.90196986,0.974916172355137,38.8939777004631
42,0.00171261448435447,0.00171114921488931,98532.7898252096,168.604305950261,98448.4876722345,3739705.2008579,0.974309116466355,37.9539157217803
43,0.00188104532753042,0.0018792778241453,98364.1855192593,184.853632536458,98271.7587029911,3641256.71318566,0.973674799914803,37.0181148144892
44,0.00206604686499688,0.00206391479265339,98179.3318867229,202.633775413834,98078.014999016,3542984.95448267,0.973011581867565,36.0868717111509
