"Edad","Mx","qx","lx","dx","Lx","Tx","P_x1","e_0"
25,0.000359867686803181,0.000359802946076226,1e+05,35.9802946076226,99982.0098526962,6569949.07425186,0.999820098526962,65.6994907425186
26,0.000387270875574168,0.000387195900726421,99964.0197053924,38.7056586500631,99944.6668760673,6469967.06439917,0.984781920114947,64.7229581550146
27,0.000416840020821576,0.000416753161123395,99925.3140467423,41.6441905052279,99904.4919514897,6370022.3975231,0.984552523083771,63.7478346532229
28,0.000448786545181265,0.000448685863092081,99883.6698562371,44.8163906182502,99861.261660928,6270117.90557161,0.984316461431857,62.7742043779149
29,0.000483347366019909,0.000483230581905437,99838.8534656188,48.2451872569626,99814.7308719904,6170256.64391068,0.984073463503423,61.8021584756631
30,0.000520786974560108,0.00052065140032632,99790.6082783619,51.9561199395444,99764.6302183921,6070441.91303869,0.983823244861217,60.8317958750731
31,0.000561375225188492,0.000561217698332601,99738.6521584223,55.9750967991457,99710.6646100228,5970677.2828203,0.983565507808565,59.8632240722145
32,0.000605384746683094,0.00060520155678752,99682.6770616232,60.328111342442,99652.513005952,5870966.61821028,0.983299940712434,58.8965584720491
33,0.000653110876187496,0.000652897668903197,99622.3489502807,65.0431994002991,99589.8273505806,5771314.10520432,0.983026217063327,57.9319215619445
34,0.000704874297017509,0.000704625960653171,99557.3057508804,70.1506622047556,99522.2304197781,5671724.27785374,0.982743994602412,56.9694432274608
35,0.000761021400773075,0.000760731934132012,99487.1550886757,75.6830559118997,99449.3135607197,5572202.04743396,0.982452914573372,56.0092611198632
36,0.000821872730677825,0.000821535132016676,99411.4720327638,81.6700168004087,99370.6370243636,5472752.73387325,0.982152600944089,55.0515209358287
37,0.000887694941411995,0.000887301115056323,99329.8020159634,88.1354440870881,99285.7342939198,5373382.09684888,0.981842659104747,54.0963737749656
38,0.000958741569246781,0.000958282196758231,99241.6665718763,95.1015222524455,99194.1158107501,5274096.36255496,0.981522673708214,53.1439721312537
39,0.00103524984939474,0.00103471425550615,99146.5650496238,102.588364241314,99095.2708675032,5174902.24674421,0.981192206400511,52.1944683020952
40,0.00111743273467933,0.00111680875534852,99043.9766853825,110.61318032677,98988.6700952191,5075806.97587671,0.980850793668644,51.2480127085388
41,0.00120541596980763,0.00120468989358943,98933.3635050558,119.18402315335,98873.7714934791,4976818.30578149,0.980497944353347,50.3047519002744
42,0.00129917856330342,0.00129833517868735,98814.1794819024,128.29392537448,98750.0325192152,4877944.53428801,0.980133136188914,49.3648235492498
43,0.00139859417793917,0.00139761682855946,98685.8855565279,137.925054395097,98616.9230293304,4779194.5017688,0.979755810705702,48.4283489459214
44,0.00150341944081966,0.00150229015470749,98547.9605021328,148.047630828856,98473.9366867184,4680577.57873947,0.979365367324382,47.4954281640173
45,0.00161327778925183,0.00161197750549863,98399.912871304,158.618446091567,98320.6036482582,4582103.64205275,0.978961157030274,46.5661351554815
46,0.00172781511120779,0.00172632372709653,98241.2944252124,169.59627754692,98156.4962864389,4483783.03840449,0.978542474957155,45.6405126239235
47,0.00184691860640362,0.00184521462579103,98071.6981476655,180.963331798235,97981.2164817664,4385626.54211805,0.978108553548263,44.7185745220263
48,0.00197048713946347,0.0019685476405589,97890.7348158672,192.702575054353,97794.3835283401,4287645.32563628,0.977658559035798,43.8003181169429
49,0.00209839767778415,0.00209619834891038,97698.0322408129,204.794453874985,97595.6350138754,4189850.94210794,0.97719158743294,42.8857249834931
50,0.00223050606597163,0.00222802125850552,97493.2377869379,217.217006349831,97384.629283763,4092255.30709407,0.976706657023752,41.9747605063368
51,0.00236686907439079,0.00236407135070597,97276.0207805881,229.967453838067,97161.037053669,3994870.6778103,0.976202699495571,41.067373498151
