"Age","Diff_F_Alta_Media.Edad","Diff_F_Alta_Media.Mx","Diff_F_Alta_Media.qx","Diff_F_Alta_Media.lx","Diff_F_Alta_Media.dx","Diff_F_Alta_Media.Lx","Diff_F_Alta_Media.Tx","Diff_F_Alta_Media.P_x1","Diff_F_Alta_Media.e_0","Diff_F_Alta_Baja.Edad","Diff_F_Alta_Baja.Mx","Diff_F_Alta_Baja.qx","Diff_F_Alta_Baja.lx","Diff_F_Alta_Baja.dx","Diff_F_Alta_Baja.Lx","Diff_F_Alta_Baja.Tx","Diff_F_Alta_Baja.P_x1","Diff_F_Alta_Baja.e_0","Diff_F_Media_Baja.Edad","Diff_F_Media_Baja.Mx","Diff_F_Media_Baja.qx","Diff_F_Media_Baja.lx","Diff_F_Media_Baja.dx","Diff_F_Media_Baja.Lx","Diff_F_Media_Baja.Tx","Diff_F_Media_Baja.P_x1","Diff_F_Media_Baja.e_0","Diff_M_Alta_Media.Edad","Diff_M_Alta_Media.Mx","Diff_M_Alta_Media.qx","Diff_M_Alta_Media.lx","Diff_M_Alta_Media.dx","Diff_M_Alta_Media.Lx","Diff_M_Alta_Media.Tx","Diff_M_Alta_Media.P_x1","Diff_M_Alta_Media.e_0","Diff_M_Alta_Baja.Edad","Diff_M_Alta_Baja.Mx","Diff_M_Alta_Baja.qx","Diff_M_Alta_Baja.lx","Diff_M_Alta_Baja.dx","Diff_M_Alta_Baja.Lx","Diff_M_Alta_Baja.Tx","Diff_M_Alta_Baja.P_x1","Diff_M_Alta_Baja.e_0","Diff_M_Media_Baja.Edad","Diff_M_Media_Baja.Mx","Diff_M_Media_Baja.qx","Diff_M_Media_Baja.lx","Diff_M_Media_Baja.dx","Diff_M_Media_Baja.Lx","Diff_M_Media_Baja.Tx","Diff_M_Media_Baja.P_x1","Diff_M_Media_Baja.e_0"
25,0,-0.00092101978893401,-0.00092030704172107,0,-92.030704172107,46.0153520860476,417464.420976312,0.000460153520860485,4.17464420976312,0,-0.00258433488599309,-0.0025801904426563,0,-258.01904426563,129.009522132808,751263.171303187,0.00129009522132817,7.51263171303187,0,-0.00166331509705908,-0.00165988340093523,0,-165.988340093522,82.9941700467607,333798.750326875,0.000829941700467685,3.33798750326875,0,-0.000244036816207276,-0.00024397448224963,0,-24.397448224963,12.1987241124734,208079.197562066,0.000121987241124777,2.08079197562066,0,-0.000564656150193559,-0.000564421455780362,0,-56.4421455780362,28.2210727890197,685154.417210672,0.000282210727890253,6.85154417210672,0,-0.000320619333986283,-0.000320446973530733,0,-32.0446973530733,16.0223486765462,477075.219648606,0.000160223486765476,4.77075219648606
26,0,-0.000928847853603304,-0.000928096964203354,92.0307041720953,-92.6634564553122,138.362432399765,417418.405624227,0.00151085848792964,4.12999978478388,0,-0.00256792837711547,-0.00256375267785436,258.019044265617,-255.544437492109,385.791263011677,751134.161781054,0.00290211621017389,7.3945758760458,0,-0.00163908052351216,-0.00163565571365101,165.988340093521,-162.880981036796,247.428830611912,333715.756156827,0.00139125772224424,3.26457609126192,0,-0.000258100443149444,-0.00025802896718917,24.3974482249614,-25.7895488278567,37.2922226388764,208066.998837953,0.000604769423200091,2.06715086000283,0,-0.000588951296603025,-0.00058869083318851,56.4421455780393,-58.8196504780821,85.8519708170788,685126.196137883,0.00217372237196367,6.82294281722927,0,-0.000330850853453581,-0.00033066186599934,32.0446973530779,-33.0301016502254,48.5597481782024,477059.197299929,0.00156895294876358,4.75579195722644
27,0,-0.000935686943944888,-0.000934895864420616,184.694160627405,-93.1855460033711,231.286933629075,417280.043191827,0.00155101085362364,4.08594819550161,0,-0.00255143122878011,-0.00254721763789266,513.563481757723,-253.051761342659,640.089362429047,750748.370518043,0.0029636662520901,7.27969643622157,0,-0.00161574428483522,-0.00161232177347204,328.869321130318,-159.866215339288,408.802428799972,333468.327326216,0.00141265539846647,3.19374824071996,0,-0.000272774715187082,-0.000272692798831446,50.1869970528205,-27.2396919925285,63.8068430490821,208029.706615315,0.000621440984754806,2.05298802548997,0,-0.000614207464717875,-0.000613918230456328,115.261796056118,-61.284887650201,145.904239881216,685040.344167066,0.00224206416087924,6.79373338167427,0,-0.000341432749530792,-0.000341225431624882,65.0747990032978,-34.0451956576725,82.0973968321341,477010.637551751,0.00162062317612444,4.74074535618431
28,0,-0.000941707096027291,-0.00094087332840912,277.879706630774,-93.6130605706348,324.686236916095,417048.756258198,0.0015933345250092,4.04256063143799,0,-0.00253574417858416,-0.00253148281330019,766.615243100387,-250.627123865314,891.928805033051,750108.281155614,0.0030292131074614,7.16798938278932,0,-0.00159403708255687,-0.00159060948489107,488.735536469612,-157.014063294679,567.242568116955,333059.524897416,0.0014358785824522,3.12542875135133,0,-0.000288069365425888,-0.000287975531345221,77.4266890453437,-28.7483589474865,91.8008685190871,207965.899772266,0.00063873063644182,2.03829972567008,0,-0.000640627445008217,-0.000640305924656015,176.546683706314,-63.8569453285507,208.475156370594,684894.439927185,0.00231367715591357,6.76392315800041,0,-0.000352558079582329,-0.000352330393310794,99.1199946609704,-35.1085863810642,116.674287851507,476928.540154919,0.00167494651947175,4.72562343233033
29,0,-0.000947103415216281,-0.000946223926476808,371.492767201402,-93.9643347953083,418.474934599071,416724.070021282,0.0016380148736983,3.99989833837636,0,-0.00252178592517725,-0.00251746345861013,1017.2423669657,-248.356751962086,1141.42074294675,749216.352350581,0.00309906179596098,7.05941184781192,0,-0.00157468250996097,-0.00157123953213332,645.749599764298,-154.392417166778,722.945808347678,332492.282329299,0.00146104692226268,3.05951350943556,0,-0.000303992323011781,-0.00030388489117348,106.175047992831,-30.3157781820782,121.332937083876,207874.098903746,0.000656670024971717,2.02308365414743,0,-0.000668453586980038,-0.000668095636664196,240.403629034874,-66.5586244244627,273.682941247098,684685.964770814,0.00238877925213565,6.73351303901374,0,-0.000364461263968257,-0.000364210745490716,134.228581042044,-36.2428462423845,152.350004163221,476811.865867068,0.00173210922716394,4.71042938486631
30,0,-0.000952099792011708,-0.000951170911356952,465.457101996712,-94.260271302375,512.587237647895,416305.595086683,0.00168525118924501,3.95801217115272,0,-0.00251049446775778,-0.00250609387286651,1265.59911892778,-246.327026442568,1388.76263214907,748074.931607635,0.00317352645214675,6.95388448287587,0,-0.00155839467574607,-0.00155492296150955,800.142016931073,-152.066755140193,876.175394501173,331769.336520952,0.00148827526290174,2.99587231172315,0,-0.00032054945261232,-0.000320426513533818,136.490826174908,-31.9418893967769,152.461770873299,207752.765966663,0.000675293316407588,2.00733909018444,0,-0.000697975484398027,-0.000697576186674332,306.962253459336,-69.4171477827944,341.670827350739,684412.281829568,0.00246760362001475,6.70249645394576,0,-0.000377426031785707,-0.000377149673140514,170.471427284429,-37.4752583860175,189.209056477441,476659.515862904,0.00179231030360716,4.69515736376132
31,0,-0.000956928118929522,-0.000955945448525978,559.717373299092,-94.5222244069274,606.97848550255,415793.007849035,0.00173525766116456,3.91694210141236,0,-0.00250258592486684,-0.00249808687608859,1511.92614537035,-244.600734037111,1634.22651238891,746686.168975486,0.0032529308014424,6.85129388561501,0,-0.00154565780593732,-0.00154214142756261,952.208772071259,-150.078509630184,1027.24802688636,330893.161126451,0.00151767314027784,2.93435178420265,0,-0.00033774474693368,-0.000337604131343344,168.432715571689,-33.6263513020086,185.245891222687,207600.30419579,0.000694637486720162,1.99106705001535,0,-0.000729547241208994,-0.000729100713846727,376.379401242128,-72.4658070671738,412.612304775714,684070.611002217,0.00255039942114721,6.67085813120217,0,-0.000391802494275314,-0.000391496582503384,207.946685670438,-38.8394557651652,227.366413553027,476470.306806427,0.00185576193442705,4.67979108118682
32,0,-0.000961834977535665,-0.000960793277810875,654.239597706022,-94.7726151844867,701.625905298279,415186.029363533,0.00178826466934778,3.87671779243467,0,-0.0024985928693324,-0.00249397199164243,1756.52687940747,-243.221095028388,1878.13742692166,745051.942463097,0.00333761151538947,6.7515051365306,0,-0.00153675789179674,-0.00153317871383156,1102.28728170144,-148.448479843901,1176.51152162338,329865.913099565,0.00154934684604169,2.87478734409594,0,-0.00035558012353041,-0.00035541936818298,202.059066873699,-35.3685083367904,219.743321042086,207415.058304567,0.000714742647709321,1.97427041923208,0,-0.000763600232624978,-0.000763099383250886,448.8452083093,-75.7451372815814,486.717776950085,683657.998697441,0.00263743233048419,6.63857228438942,0,-0.000408020109094568,-0.000407680015067906,246.786141435601,-40.376628944791,266.974455907999,476242.940392874,0.00192268968277487,4.66430186515734
33,0,-0.000967113119945124,-0.000966006124401839,749.01221289052,-95.0379812691233,796.531203525068,414484.403458235,0.00184452039770344,3.83735893047823,0,-0.00249910788326506,-0.00249433820518801,1999.74797443586,-242.235674575727,2120.86581172372,743173.805036176,0.00342792449968932,6.65437186226347,0,-0.00153199476331994,-0.00152833208078617,1250.73576154534,-147.197693306604,1324.33460819865,328689.401577941,0.00158340410198587,2.81701293178524,0,-0.000374054775048721,-0.000373871084539348,237.427575210488,-37.1673112189229,256.011230819946,207195.314983524,0.000735652412579557,1.95695408736248,0,-0.000800651872345044,-0.000800088089116564,524.590345590885,-79.30366794864,564.24217956519,683171.280920491,0.00272898477354511,6.60560052317065,0,-0.000426597097296323,-0.000426217004577216,287.162770380397,-42.1363567297172,308.230948745244,475975.965936966,0.00199333236096555,4.64864643580817
34,0,-0.000973114475339755,-0.000971934647245448,844.05019415963,-95.3501593645478,891.725273841905,413687.87225471,0.00190429221585442,3.79887429238617,0,-0.00250481242479049,-0.00249986263701995,2241.98364901158,-241.698918285234,2362.8331081542,741052.939224452,0.00352424859461731,6.5597358611645,0,-0.00153169794945073,-0.0015279279897745,1397.93345485195,-146.348758920687,1471.10783431229,327365.066969742,0.00161995637876289,2.76086156877832,0,-0.000393164844344677,-0.000392955048318063,274.594886429419,-39.0212681033699,294.105520481113,206939.303752705,0.000757414315165295,1.93912510561086,0,-0.000841323914469301,-0.000840686665136182,603.894013539524,-83.1995890782421,645.493808078652,682607.038740925,0.0028253559198973,6.57188973657684,0,-0.000448159070124625,-0.000447731616818119,329.299127110105,-44.1783209748723,351.38828759754,475667.734988221,0.002067941604732,4.63276463096598
35,0,-0.000980262851973159,-0.000979001068204783,939.400353524179,-95.7474060447031,987.274056546521,412796.146980869,0.00196786770587243,3.76126049398076,0,-0.00251649435033648,-0.00251132786941856,2483.68256729683,-241.673486522949,2604.5193105583,738690.106116298,0.00362698632417524,6.4674258720399,0,-0.00153623149836332,-0.00153232680121378,1544.28221377265,-145.926080478246,1617.24525401178,325893.959135429,0.00165911861830281,2.70616537805915,0,-0.000412902994793736,-0.000412663500143102,313.616154532792,-40.9283832726301,334.080346169096,206645.198232223,0.000780080291793772,1.92079284849561,0,-0.000886358849218954,-0.000885635165521095,687.093602617766,-87.5021832798984,730.844694257714,681961.544932847,0.00292686132328979,6.53736957767328,0,-0.000473455854425218,-0.000472971665377993,373.477448084974,-46.5738000072684,396.764348088618,475316.346700624,0.00214678103149601,4.61657672917767
36,0,-0.000988991954730361,-0.000987637236705064,1035.14775956888,-96.2681464648317,1083.28183280129,411808.872924322,0.00203555548989343,3.72450050217298,0,-0.00253485245868474,-0.00252942697738962,2725.35605381978,-242.210971613343,2846.46153962646,736085.58680574,0.00373656408284417,6.3772560604304,0,-0.00154586050395438,-0.00154178974068456,1690.2082942509,-145.942825148511,1763.17970682516,324276.713881418,0.00170100859295075,2.65275555825742,0,-0.000433254675119247,-0.000432981415491266,354.544537805414,-42.8857653664312,375.987420488644,206311.117886054,0.00080370723270784,1.90196918269871,0,-0.000936440280927983,-0.000935614361165125,774.595785897662,-92.2738304775177,820.73270113644,681230.700238589,0.00303383205270169,6.5019497285648,0,-0.000503185605808736,-0.000502632945673859,420.051248092248,-49.3880651110866,444.745280647796,474919.582352535,0.00223012481999385,4.59998054586609
37,0,-0.000999735705048966,-0.000998274912108223,1131.4159060337,-96.9499041567247,1179.89085811208,410725.591091521,0.00210768674754591,3.68856493879988,0,-0.002560461891386,-0.00255472893627986,2967.56702543312,-243.348458537255,3089.24125470176,733239.125266113,0.00385343462952736,6.28903219636781,0,-0.00156072618633703,-0.00155645402417163,1836.15111939942,-146.39855438053,1909.35039658968,322513.534174593,0.00174574788198145,2.60046725756793,0,-0.000454195913874553,-0.000453884295879824,397.430303171845,-44.8893870229514,419.874996683313,205935.130465566,0.000828357649773515,1.88266879422491,0,-0.00099211682765435,-0.000991169685278359,866.869616375188,-97.5623582993605,915.650795524867,680409.967537453,0.00314661555733919,6.46552522238632,0,-0.000537920913779797,-0.000537285389398535,469.439313203344,-52.6729712764091,495.775798841554,474474.837071887,0.00231825790756568,4.58285642816141
38,0,-0.00101302591939946,-0.00101144317654708,1228.36581019043,-97.8387225903205,1277.28517148558,409545.700233408,0.00218461783356849,3.65341380875518,0,-0.00259402647936439,-0.00258792995167836,3210.91548397038,-245.132587374055,3333.48177765742,730149.884011412,0.0039780830471362,6.20255869796981,0,-0.00158100055996493,-0.00157648677513127,1982.54967377995,-147.293864783735,2056.19660617184,320604.183778003,0.00179346521356771,2.54914488921464,0,-0.000475695476020619,-0.000475340318355954,442.319690194796,-46.9342758770626,465.786828133336,205515.255468884,0.000854100498078436,1.86290958340476,0,-0.00105399306892128,-0.00105290185465767,964.431974674546,-103.419766639615,1016.14185799437,679494.316741928,0.00326557970186392,6.42798457979654,0,-0.000578297592900664,-0.000577561536301716,522.11228447975,-56.4854907625522,550.355029861035,473979.061273045,0.00241147920378548,4.56507499639178
39,0,-0.00102952171914427,-0.00102779764636662,1326.20453278074,-98.9917532598942,1375.70040941068,408268.415061923,0.00226673211467288,3.6189945408052,0,-0.00263641837726338,-0.0026298926695777,3456.04807134444,-247.622671503261,3579.85940709605,726816.402233754,0.00411103058523454,6.11763623072184,0,-0.00160689665811911,-0.00160209502321108,2129.8435385637,-148.630918243367,2204.15899768537,318547.987171832,0.00184429847056167,2.49864168991664,0,-0.000497714201282296,-0.000497309668507623,489.253966071861,-49.0144225623863,513.761177353066,205049.46864075,0.000881012110645618,1.842712921817,0,-0.00112274817764475,-0.00112148533178427,1067.85174131417,-109.903775185794,1122.80362890707,678478.174883934,0.00339111597530684,6.38920967689397,0,-0.000625033976362453,-0.000624175663276649,578.597775242306,-60.8893526234079,609.042451554007,473428.706243184,0.00251010386466122,4.54649675507697
40,0,-0.00105003852390342,-0.00104814921007321,1425.19628604063,-100.479702215463,1475.43613714837,406892.714652512,0.00235444033056464,3.58523938819062,0,-0.0026887047768304,-0.00268167241297143,3703.67074284769,-250.892384071657,3829.11693488352,723236.542826658,0.00425283485861605,6.03405846918321,0,-0.00163866625292698,-0.00163352320289822,2278.47445680706,-150.412681856194,2353.68079773516,316343.828174146,0.00189839452805141,2.44881908099259,0,-0.000520204281880988,-0.000519743812838964,538.268388634242,-51.1226803312892,563.829728799901,204535.707463397,0.00090917724641626,1.8221039067599,0,-0.00119913980031163,-0.0011976720199244,1177.75551649996,-117.077845579205,1236.29443928957,677355.371255027,0.00352364049819087,6.34907512493165,0,-0.000678935518430638,-0.000677928207085434,639.487127865723,-65.9551652479154,672.464710489672,472819.66379163,0.00261446325177461,4.52697121817175
41,0,-0.00107549959266963,-0.00107341543123761,1525.67598825609,-102.381630811304,1576.86680366173,405417.278515364,0.00244818010661785,3.55206235588462,0,-0.00275191070043981,-0.00274428047460044,3954.56312691935,-255.006286693348,4082.06627026602,719407.425891775,0.00440408894185662,5.95160864493057,0,-0.00167641110777018,-0.00167086504336283,2428.88713866327,-152.624655882044,2505.19946660429,313990.147376411,0.00195590883523877,2.39954628904595,0,-0.000543119081935917,-0.000542595299863627,589.391068965531,-53.2517035134231,616.016920722235,203971.877734596,0.000938690302679679,1.80111161289681,0,-0.00128379282228587,-0.00128208022897168,1294.83336207917,-124.990049114106,1357.32838663622,676119.076815737,0.00366359481239831,6.30744781852864,0,-0.000740673740349951,-0.000739484929108058,705.442293113636,-71.7383456006831,741.311465913983,472147.199081141,0.00272490450971863,4.50633620563183
42,0,-0.00110690782636502,-0.00110459214005889,1628.05761906739,-104.781704301085,1680.44847121793,403840.411711703,0.00254841552300666,3.51935851186704,0,-0.00282685190554846,-0.00281851740143594,4209.5694136127,-260.003470515511,4339.57114887045,715325.359621509,0.00456542327524923,5.87006462703859,0,-0.00171994407918345,-0.00171392526137705,2581.51179454531,-155.221766214426,2659.12267765253,311484.947909806,0.00201700775224256,2.35070611517155,0,-0.000566422157692949,-0.000565826757120995,642.642772478954,-55.3947950208346,670.340169989358,203355.860813874,0.000969656594450918,1.77976889933935,0,-0.00137699667412306,-0.00137499233459075,1419.82341119327,-133.652997750758,1486.64991006863,674761.748429101,0.00381144945471701,6.26419464967039,0,-0.000810574516430108,-0.00080916557746976,777.180638714315,-78.2582027299233,816.309740079276,471405.887615227,0.00284179286026609,4.48442575033105
