"Age","Diff_F_Alta_Media.Edad","Diff_F_Alta_Media.Mx","Diff_F_Alta_Media.qx","Diff_F_Alta_Media.lx","Diff_F_Alta_Media.dx","Diff_F_Alta_Media.Lx","Diff_F_Alta_Media.Tx","Diff_F_Alta_Media.P_x1","Diff_F_Alta_Media.e_0","Diff_F_Alta_Baja.Edad","Diff_F_Alta_Baja.Mx","Diff_F_Alta_Baja.qx","Diff_F_Alta_Baja.lx","Diff_F_Alta_Baja.dx","Diff_F_Alta_Baja.Lx","Diff_F_Alta_Baja.Tx","Diff_F_Alta_Baja.P_x1","Diff_F_Alta_Baja.e_0","Diff_F_Media_Baja.Edad","Diff_F_Media_Baja.Mx","Diff_F_Media_Baja.qx","Diff_F_Media_Baja.lx","Diff_F_Media_Baja.dx","Diff_F_Media_Baja.Lx","Diff_F_Media_Baja.Tx","Diff_F_Media_Baja.P_x1","Diff_F_Media_Baja.e_0","Diff_M_Alta_Media.Edad","Diff_M_Alta_Media.Mx","Diff_M_Alta_Media.qx","Diff_M_Alta_Media.lx","Diff_M_Alta_Media.dx","Diff_M_Alta_Media.Lx","Diff_M_Alta_Media.Tx","Diff_M_Alta_Media.P_x1","Diff_M_Alta_Media.e_0","Diff_M_Alta_Baja.Edad","Diff_M_Alta_Baja.Mx","Diff_M_Alta_Baja.qx","Diff_M_Alta_Baja.lx","Diff_M_Alta_Baja.dx","Diff_M_Alta_Baja.Lx","Diff_M_Alta_Baja.Tx","Diff_M_Alta_Baja.P_x1","Diff_M_Alta_Baja.e_0","Diff_M_Media_Baja.Edad","Diff_M_Media_Baja.Mx","Diff_M_Media_Baja.qx","Diff_M_Media_Baja.lx","Diff_M_Media_Baja.dx","Diff_M_Media_Baja.Lx","Diff_M_Media_Baja.Tx","Diff_M_Media_Baja.P_x1","Diff_M_Media_Baja.e_0"
25,0,-0.0011069678595611,-0.00110576859016757,0,-110.576859016757,55.2884295083786,568273.966054907,0.000552884295083822,5.68273966054907,0,-0.00272705446909676,-0.00272189697621689,0,-272.189697621689,136.094848810841,1434574.23981508,0.00136094848810842,14.3457423981508,0,-0.00162008660953566,-0.00161612838604932,0,-161.612838604932,80.806419302462,866300.27376017,0.000808064193024594,8.6630027376017,0,-0.000372884465769416,-0.000372779661173555,0,-37.2779661173555,18.6389830586704,505223.538857759,0.00018638983058672,5.05223538857759,0,-0.000925569192862239,-0.000925053476480517,0,-92.5053476480517,46.2526738240267,1444963.83242675,0.00046252673824021,14.4496383242675,0,-0.000552684727092823,-0.000552273815306962,0,-55.2273815306962,27.6136907653563,939740.293568992,0.00027613690765349,9.39740293568993
26,0,-0.000981118438751053,-0.000980174459568793,110.576859016757,-97.8048242649272,159.479271149234,568218.677625399,0.00168492979591395,5.62522522887829,0,-0.00253318841001441,-0.00252879010844168,272.189697621681,-251.927957304082,398.153676273738,1434438.14496627,0.00504736364105007,14.2277856623253,0,-0.00155206997126335,-0.00154861564887289,161.612838604924,-154.123133039155,238.674405124504,866219.467340867,0.00336243384513613,8.60256043344705,0,-0.000165861689747761,-0.000165813598437818,37.2779661173554,-16.5658898269364,45.5609110308142,505204.8998747,0.00119754658703441,5.0296283407105,0,-0.000873811903974414,-0.000873249492771458,92.5053476480534,-87.2167463711727,136.113720833629,1444917.57975293,0.00403371427518306,14.4023911217369,0,-0.000707950214226654,-0.00070743589433364,55.227381530698,-70.6508565442363,90.5528098028153,939712.679878226,0.00283616768814865,9.3727627810264
27,0,-0.00106241861161105,-0.00106139495126078,208.381683281696,-105.721668591482,261.242517577426,568059.19835425,0.00172459029863359,5.57513336967803,0,-0.00221150520255163,-0.00220810667066023,524.117654925765,-219.205019576901,633.720164714206,1434039.99128999,0.00518414393593347,14.1200355787289,0,-0.00114908659094058,-0.00114671171939945,315.73597164407,-113.483350985418,372.47764713678,865980.792935743,0.00345955363729988,8.54490220905091,0,-0.000169121571856588,-0.000169073365148845,53.8438559442875,-16.8823345909962,62.2850232397759,505159.33896367,0.00123079181754271,5.02056242928695,0,-0.000773545530330006,-0.000773091443243854,179.72209401922,-77.1108379413118,218.277512989865,1444781.46603209,0.00415520984281803,14.3603005016477,0,-0.000604423958473418,-0.000604018078095009,125.878238074933,-60.2285033503156,155.99248975009,939622.127068424,0.00292441802527532,9.33973807236072
28,0,-0.00103903448075651,-0.00103804440068644,314.103351873171,-103.193074331328,365.699889038835,567797.955836672,0.00176685236152108,5.52140804195823,0,-0.00236662592009386,-0.00236280353397615,743.322674502662,-233.862289488573,860.253819246951,1433406.27112528,0.00533477797936799,14.0281506159869,0,-0.00132759143933736,-0.00132475913328972,429.219322629491,-130.669215157245,494.553930208116,865608.315288606,0.00356792561784691,8.50674257402862,0,-0.000424491464861558,-0.000424342903294631,70.7261905352789,-42.3732203778468,91.9128007241961,505097.053940429,0.00126724202906847,5.01142852629732,0,-0.000768854006459639,-0.000768452650514215,256.832931960525,-76.5739126144325,295.119888267742,1444563.1885191,0.00428428905783462,14.3240123534087,0,-0.000344362541598082,-0.000344109747219584,186.106741425247,-34.2006922365857,203.207087543546,939466.134578674,0.00301704702876615,9.31258382711136
29,0,-0.00114559228368643,-0.0011444468486291,417.296426204499,-113.574732483495,474.083792446254,567432.255947634,0.00181087199179186,5.46985928952317,0,-0.0026672148774037,-0.00266252394273408,977.184963991225,-262.735038182527,1108.55248308249,1432546.01730603,0.00549626028984074,13.9314508355976,0,-0.00152162259371726,-0.00151807709410498,559.888537786726,-149.160305699032,634.468690636233,865113.761358398,0.00368538829804888,8.4615915460744,0,-0.000295077335438104,-0.000294991609218518,113.099410913128,-29.4307418714989,127.814781848865,505005.141139705,0.00130333090346268,4.98707958433986,0,-0.000776167747625556,-0.000775755691002192,333.406844574958,-77.2195919484426,372.016640549176,1444268.06863084,0.00442140390308288,14.2877899088602,0,-0.000481090412187451,-0.000480764081783674,220.30743366183,-47.7888500769438,244.201858700311,939262.92749113,0.00311807299962019,9.30071032452032
30,0,-0.0010886555438859,-0.0010876178913093,530.871158687994,-107.717336049242,584.729826712617,566958.172155187,0.00185650368867274,5.41377794577858,0,-0.00251867900661199,-0.00251448178829661,1239.92000217375,-247.245444456298,1363.54272440189,1431437.46482295,0.00566214496578399,13.8238970130738,0,-0.00143002346272608,-0.00142686389698731,709.048843485754,-139.528108407056,778.812897689277,864479.292667761,0.00380564127711125,8.41011906729524,0,-0.00028287263062818,-0.000282792798330895,142.530152784631,-28.1967599374359,156.628532753341,504877.326357856,0.00134015851823599,4.97067355124642,0,-0.000625179933019423,-0.000624896564101083,410.626436523409,-62.1263026128619,441.689587829838,1443896.05199029,0.00456603126280486,14.2520149530026,0,-0.000342307302391243,-0.000342103765770188,268.096283738778,-33.929542675426,285.061055076498,939018.72563243,0.00322587274456887,9.28134140175622
31,0,-0.00119500876473371,-0.00119376498820978,638.58849473724,-118.007752773772,697.592371124134,566373.442328475,0.00190421460070078,5.3614818809954,0,-0.00288445399392068,-0.00287902184345816,1487.16544663004,-282.181592358377,1628.25624280924,1430073.92209855,0.00583641052499406,13.7245660270046,0,-0.00168944522918697,-0.00168525685524838,848.576951892799,-164.173839584605,930.663871685101,863700.479770072,0.00393219592429328,8.36308414600925,0,-0.000464205797803601,-0.000464049742611496,170.726912722064,-46.265103780933,193.859464612528,504720.697825103,0.00138005890281101,4.95523819656145,0,-0.000798974470327709,-0.000798572243185826,472.752739136267,-79.3566941511561,512.431086211844,1443454.36240246,0.00472010452128102,14.2241602211571,0,-0.000334768672524108,-0.00033452250057433,302.025826414203,-33.091590370223,318.571621599316,938733.664577353,0.00334004561847001,9.2689220245956
32,0,-0.0011701175840907,-0.00116893056942738,756.596247510999,-115.315324970831,814.25390999642,565675.849957352,0.00195412747326973,5.3051258169486,0,-0.00257981387397522,-0.00257538300374062,1769.3470389884,-251.40997211651,1895.05202504667,1428445.66585574,0.00601885366550992,13.6129330705004,0,-0.00140969628988452,-0.00140645243431324,1012.7507914774,-136.094647145679,1080.79811505025,862769.815898387,0.00406472619224019,8.30780725355184,0,-0.000392515872889419,-0.000392375625308446,216.992016503005,-39.0771301982423,236.530581602128,504526.838360491,0.00142052571844509,4.92972707580024,0,-0.000588743317233396,-0.000588475235240423,552.10943328742,-58.373177446036,581.296022010429,1442941.93131624,0.004882688334366,14.1882465821433,0,-0.000196227444343977,-0.000196099609931977,335.117416784415,-19.2960472477937,344.7654404083,938415.092955753,0.00346216261592092,9.25851950634303
33,0,-0.0011195605526436,-0.00111844498963601,871.911572481826,-110.088014221374,926.955579592526,564861.596047355,0.00200607451195822,5.25097252778375,0,-0.00250856672277162,-0.00250432920186776,2020.75701110491,-243.592921882982,2142.55347204642,1426550.61383069,0.00621204227218053,13.5157451432525,0,-0.00138900617012802,-0.00138588421223175,1148.84543862309,-133.504907661608,1215.59789245389,861689.017783337,0.00420596776022231,8.26477261546877,0,-0.000375855416119222,-0.000375722274162125,256.069146701251,-37.3887461852625,274.76351979388,504290.307778888,0.00146208811884607,4.90889345704991,0,-0.000676098256370758,-0.000675757339087582,610.482610733452,-66.9812874284085,643.973254447657,1442360.63529423,0.00505492703200583,14.1635429229948,0,-0.000300242840251535,-0.000300035064925457,354.413464032201,-29.592541243146,369.209734653778,938070.327515345,0.00359283891315976,9.25464946594487
34,0,-0.00134719757956805,-0.0013457535128162,981.999586703198,-132.321927426671,1048.16055041653,563934.640467763,0.00206188462382384,5.20030753081737,0,-0.00291613089270854,-0.00291072370623069,2264.3499329879,-282.409840568861,2405.55485327233,1424408.06035865,0.00642252805332777,13.4236726455024,0,-0.00156893331314049,-0.0015649701934145,1282.3503462847,-150.087913142189,1357.3943028558,860473.419890882,0.00436064342950393,8.22336511468503,0,-0.000550805803947483,-0.000550526370737664,293.457892886508,-54.7483804261734,320.832083099594,504015.544259095,0.00150660176256712,4.88936490387263,0,-0.00094316901624783,-0.000942505700538732,677.463898161863,-93.327120635596,724.127458479663,1441716.66203979,0.0052384207999211,14.1355567812858,0,-0.000392363212300348,-0.000391979329801068,384.006005275354,-38.5787402094226,403.295375380068,937701.117780691,0.00373181903735398,9.24619187741315
