"Age","lx","dx","qx","Lx","Tx","ex"
74,54373.5403512748,2900.1984629459,0.0533384150491115,52923.4411198018,533960.073105774,9.82021898254517
75,51473.3418883289,2974.44969440877,0.0577862168122253,49986.1170411245,481036.631985972,9.34535459208339
76,48498.8921939201,3034.43394694918,0.0625670775080009,46981.6752204455,431050.514944848,8.88784249383092
77,45464.4582469709,3077.92097016836,0.0676994973402862,43925.4977618867,384068.839724402,8.44767219347634
78,42386.5372768026,3102.77575617357,0.0732019163516731,40835.1493987158,340143.341962515,8.02479664100021
79,39283.761520629,3107.05096229028,0.0790925013802121,37730.2360394838,299308.1925638,7.61913271484007
80,36176.7105583387,3089.08956897016,0.0853889013482495,34632.1657738536,261577.956524316,7.23056221771447
81,33087.6209893686,3047.63361981314,0.0921079705546789,31563.804179462,226945.790750462,6.85893346104825
82,30039.9873695554,2981.9331835134,0.0992654606285052,28549.0207777987,195381.986571,6.50406353928809
83,27058.054186042,2891.84802210112,0.106875683011711,25612.1301749915,166832.965793201,6.16574143307255
84,24166.2061639409,2777.93307535404,0.114951145269094,22777.2396262639,141220.83561821,5.84373213818434
85,21388.2730885869,2641.49805668178,0.123502166151569,20067.524060246,118443.595991946,5.53778210617432
86,18746.7750319051,2484.63150146645,0.13253647612658,17504.4592811719,98376.0719317002,5.24762641917206
87,16262.1435304386,2310.18079002539,0.142058811970348,15107.0531354259,80871.6126505283,4.97299833193312
88,13951.9627404132,2121.68217177689,0.152070515901768,12891.1216545248,65764.5595151024,4.713642140443
89,11830.2805686364,1923.23867418891,0.162569151511729,10868.6612315419,52873.4378605776,4.4693308458594
90,9907.04189444745,1719.34879539844,0.17354815026694,9047.36749674823,42004.7766290357,4.23989088534872
91,8187.69309904901,1514.69459497938,0.184996503490747,7430.34580155932,32957.4091322875,4.02523747942084
92,6672.99850406962,1313.90349795595,0.196898515285842,6016.04675509165,25527.0633307281,3.82542620310196
93,5359.09500611367,1121.30291083155,0.209233631714378,4798.4435506979,19511.0165756365,3.64072974137952
94,4237.79209528212,940.68966613617,0.221976360563659,3767.44726221404,14712.5730249386,3.47175432256762
95,3297.10242914595,775.136562417234,0.235096294117261,2909.53414793734,10945.1257627246,3.31961957443939
96,2521.96586672872,626.855408521582,0.248558244499433,2208.53816246793,8035.59161478722,3.18624122586175
97,1895.11045820714,497.130108278614,0.262322497417339,1646.54540406783,5827.05345231929,3.0747830170448
98,1397.98034992852,386.325139303121,0.276345185626445,1204.81778027696,4180.50804825146,2.99039113708944
99,1011.6552106254,1011.6552106254,1,2975.69026797449,2975.69026797449,2.94140754351962
