"Age","lx","dx","qx","Lx","Tx","ex"
25,1e+05,108.229699866191,0.00108229699866195,99945.8851500669,5152636.7282725,51.526367282725
26,99891.7703001338,111.500301080858,0.00111621108271326,99836.0201495934,5052690.84312243,50.5816528022396
27,99780.269999053,111.612114725998,0.00111857900090927,99724.46394169,4952854.82297284,49.6376169659578
28,99668.657884327,115.606698233445,0.00115991025350832,99610.8545352102,4853130.35903115,48.6926428232191
29,99553.0511860935,115.020059156916,0.00115536447940607,99495.541156515,4753519.50449594,47.7486068770533
30,99438.0311269366,122.895406764583,0.00123589943778859,99376.5834235543,4654023.96333942,46.8032593827042
31,99315.135720172,122.802740326675,0.00123649572078003,99253.7343500087,4554647.37991587,45.8605563682553
32,99192.3329798453,130.813921325243,0.00131879065040066,99126.9260191827,4455393.64556586,44.9167139406948
33,99061.5190585201,132.65375929272,0.00133910483660518,98995.1921788737,4356266.71954668,43.9753676397112
34,98928.8652992274,139.808278549361,0.00141322027829271,98858.9611599527,4257271.52736781,43.0336637794334
35,98789.057020678,150.012809456151,0.00151851646306079,98714.0506159499,4158412.56620785,42.0938582836906
36,98639.0442112219,152.263649837754,0.00154364482193994,98562.912386303,4059698.5155919,41.1571152990759
37,98486.7805613841,163.743193475355,0.00166259057857314,98404.9089646464,3961135.6032056,40.2199724737345
38,98323.0373679087,175.908136795217,0.00178908363191634,98235.0832995111,3862730.69424095,39.2861205028405
39,98147.1292311135,186.117763770919,0.00189631388333994,98054.0703492281,3764495.61094144,38.3556364860855
40,97961.0114673426,197.5588989963,0.00201670946468489,97862.2320178445,3666441.54059222,37.4275590428596
41,97763.4525683463,222.954081336546,0.00228054631336471,97651.975527678,3568579.30857437,36.5021816928937
42,97540.4984870098,237.178519020221,0.00243159018765736,97421.9092274997,3470927.33304669,35.5844740070602
43,97303.3199679895,248.840087352452,0.00255736481997028,97178.8999243133,3373505.42381919,34.6699930169802
44,97054.4798806371,268.600547515627,0.00276752343473441,96920.1796068793,3276326.52389488,33.7576022036725
45,96785.8793331215,308.388988551596,0.00318630145922599,96631.6848388457,3179406.344288,32.8498988302312
46,96477.4903445699,331.781753685791,0.00343895506092497,96311.599467727,3082774.65944915,31.9533048428085
47,96145.7085908841,355.973219572115,0.00370243482303347,95967.721981098,2986463.05998143,31.0618446080555
48,95789.735371312,388.752467405502,0.00405839379238886,95595.3591376092,2890495.33800033,30.1754183451477
49,95400.9829039065,429.547646504347,0.0045025494856485,95186.2090806543,2794899.97886272,29.2963436412171
50,94971.4352574021,464.127617602717,0.00488702330700581,94739.3714486008,2699713.76978207,28.4265870307741
51,94507.3076397994,501.532559749408,0.00530681248122028,94256.5413599247,2604974.39833347,27.5637351585757
52,94005.77508005,541.526785671595,0.00576056933960131,93735.0116872142,2510717.85697354,26.7081235683186
53,93464.2482943784,592.898141140598,0.00634358219276716,93167.7992238081,2416982.84528633,25.8599720149004
54,92871.3501532378,648.887904482719,0.00698695457115723,92546.9062009964,2323815.04606252,25.0218721083329
55,92222.4622487551,706.93468156294,0.00766553683695946,91868.9949079736,2231268.13986152,24.1944108349985
56,91515.5275671921,770.354795084495,0.00841774959466726,91130.3501696499,2139399.14495355,23.3774442635734
57,90745.1727721076,813.800460409344,0.0089679752161923,90338.272541903,2048268.7947839,22.5716556838545
58,89931.3723116983,891.183512281947,0.00990959538783803,89485.7805555573,1957930.522242,21.7713849117735
59,89040.1887994164,963.015801988528,0.0108155184189686,88558.6808984221,1868444.74168644,20.984285488158
60,88077.1729974278,1046.04482273452,0.0118764577374102,87554.1505860606,1779886.06078802,20.2082560124857
61,87031.1281746933,1133.06738932089,0.0130191049235458,86464.5944800329,1692331.91020196,19.4451335481372
62,85898.0607853724,1233.10312202187,0.0143554244501857,85281.5092243615,1605867.31572192,18.6950357323478
63,84664.9576633505,1314.78324352537,0.0155292494062689,84007.5660415879,1520585.80649756,17.960037404658
64,83350.1744198252,1409.91017456276,0.0169155035892451,82645.2193325438,1436578.24045597,17.2354557198656
65,81940.2642452624,1501.11095670065,0.018319576712708,81189.7087669121,1353933.02112343,16.5234153635489
66,80439.1532885618,1599.40363328649,0.0198833971753644,79639.4514719185,1272743.31235652,15.8224354723224
67,78839.7496552753,1735.08582761696,0.0220077541494435,77972.2067414668,1193103.8608846,15.1332781509507
