"Age","lx","dx","qx","Lx","Tx","ex"
25,1e+05,53.0496150561812,0.000530496150561731,99973.4751924719,5141976.47741103,51.4197647741103
26,99946.9503849438,58.0850892083399,0.000581159194799052,99917.9078403396,5042003.00221856,50.4467918510708
27,99888.8652957355,63.5948452949087,0.000636655998710407,99857.067873088,4942085.09437822,49.4758357675449
28,99825.2704504406,69.6228180258913,0.000697446825956314,99790.4590414276,4842228.02650513,48.5070363912424
29,99755.6476324147,76.216864172995,0.000764035580760784,99717.5392003282,4742437.5674637,47.5405421148576
30,99679.4307682417,83.4290827893565,0.00083697390872273,99637.716226847,4642720.02826338,46.5765102437018
31,99596.0016854523,91.3161553676327,0.000916865675552163,99550.3436077685,4543082.31203653,45.6151073853813
32,99504.6855300847,99.9397057926835,0.00100437185706669,99454.7156771884,4443531.96842876,44.6565098392807
33,99404.745824292,109.366679547369,0.00110021587641981,99350.0624845183,4344077.25275157,43.7009039832984
34,99295.3791447446,119.669741126272,0.00120518942731282,99235.5442741815,4244727.19026705,42.7484866549473
35,99175.7094036184,130.927687980875,0.00132015882485941,99110.2455596279,4145491.64599287,41.7994655235773
36,99044.7817156375,143.225878534649,0.00144607192881565,98973.1687763702,4046381.40043324,40.8540594501042
37,98901.5558371028,156.656670840748,0.00158396568703909,98823.2275016825,3947408.23165687,39.9124988302359
38,98744.8991662621,171.319867274113,0.00173497435027663,98659.239232625,3848585.00415519,38.975025916783
39,98573.579298988,187.323159215928,0.00190033841266687,98479.91771938,3749925.76492257,38.0418951162207
40,98386.2561397721,204.78256395887,0.00208141433563593,98283.8648577926,3651445.84720319,37.1133732542457
41,98181.4735758132,223.822843988411,0.00227968511610875,98069.562153819,3553161.98234539,36.1897398046459
42,97957.6507318248,244.577896324743,0.00249677176307862,97835.3617836624,3455092.42019157,35.2712870753757
43,97713.0728355,267.191096684022,0.00273444574948364,97579.477287158,3357257.05840791,34.3583203453222
44,97445.881738816,291.815579773931,0.00299464250891679,97299.9739489291,3259677.58112075,33.4511579448546
45,97154.0661590421,318.614433012481,0.0032794760488039,96994.7589425358,3162377.60717183,32.5501312728896
46,96835.4517260296,347.760776284398,0.0035912547531486,96661.5713378874,3065382.84822929,31.6555847428892
47,96487.6909497452,379.437694964407,0.00393249844855366,96297.972102263,2968721.2768914,30.7678756499379
48,96108.2532547808,413.837987285238,0.00430595680672879,95901.3342611382,2872423.30478914,29.8873739508553
49,95694.4152674956,451.163680169673,0.00471462915477914,95468.8334274107,2776521.970528,29.0144619491823
50,95243.2515873259,491.625259862383,0.0051617857608696,94997.4389573947,2681053.13710059,28.149533876869
51,94751.6263274635,535.440555106557,0.00565099065694202,94483.9060499102,2586055.6981432,27.2929953645939
52,94216.1857723569,582.833201280504,0.00618612605151233,93924.7691717167,2491571.79209329,26.4452627928854
53,93633.3525710764,634.030603980515,0.00677141837358892,93316.3372690862,2397647.02292157,25.60676251661
54,92999.3219670959,689.261310246337,0.0074114659727327,92654.6913119728,2304330.68565248,24.7779299559601
55,92310.0606568496,748.751685338328,0.00811126847941004,91935.6848141804,2211675.99434051,23.9592085478323
56,91561.3089715113,812.721783224493,0.00887625780314437,91154.948079899,2119740.30952633,23.1510485524609
57,90748.5871882868,881.380290464134,0.00971233071249291,90307.8970430547,2028585.36144643,22.3539057113637
58,89867.2068978226,954.918416989967,0.0106258828993728,89389.7476893276,1938277.46440338,21.5682397540981
59,88912.2884808327,1033.50260471893,0.0116238443794159,88395.5371784732,1848887.71671405,20.7945127530108
60,87878.7858761137,1117.26592767025,0.0127137160183948,87320.1529122786,1760492.17953557,20.0331873271145
61,86761.5199484435,1206.29806747676,0.0139036069007732,86158.3709147051,1673172.0266233,19.2847246984325
62,85555.2218809667,1300.63376846677,0.0152022721684522,84904.9049967333,1587013.65570859,18.5495826066188
63,84254.5881125,1400.2397099935,0.0166191508541214,83554.4682575032,1502108.75071186,17.8282130903801
64,82854.3484025065,1504.99978401721,0.0181644031126275,82101.8485104978,1418554.28245435,17.1210601471756
65,81349.3486184892,1614.69883712917,0.0198489461138989,80541.9991999247,1336452.43394386,16.4285572858306
66,79734.6497813601,1729.00503252176,0.0216844877009288,78870.1472650992,1255910.43474393,15.7511249900483
67,78005.6447488383,1847.45111307784,0.0236835567352368,77081.9191922994,1177040.28747883,15.0891681142904
68,76158.1936357605,1969.41500547697,0.0258595288498574,75173.486133022,1099958.36828653,14.4430732371
69,74188.7786302835,2094.10039950065,0.0282266461069066,73141.7284305332,1024784.88215351,13.8132060006067
70,72094.6782307829,2220.5181669195,0.0308000288150448,70984.4191473231,951643.153722978,13.1999084686482
71,69874.1600638634,2347.46974745447,0.0335956775052314,68700.4251901361,880658.734575655,12.6034965396472
72,67526.6903164089,2473.53391741768,0.0366304627966731,66289.9233577,811958.309385518,12.0242574540665
73,65053.1563989912,2597.05865521843,0.0399221006170687,63754.627071382,745668.386027818,11.4624474399736
74,62456.0977437728,2716.16010392091,0.043489109983528,61098.0176918123,681913.758956436,10.918289544025
75,59739.9376398519,2828.73087119976,0.0473507503180376,58325.572204252,620815.741264624,10.3919716991885
76,56911.2067686521,2932.46005668367,0.0515269350833539,55444.9767403103,562490.169060372,9.88364508499938
77,53978.7467119684,3024.86739963401,0.0560381184056526,52466.3130121514,507045.192320062,9.39342284150582
78,50953.8793123344,3103.35373025475,0.0609051513277718,49402.202447207,454578.87930791,8.92137920493662
79,47850.5255820797,3165.26941445895,0.0661491044446202,46267.8908748502,405176.676860703,8.4675491424998
80,44685.2561676207,3208.00163617714,0.0717910539472678,43081.2553495321,358908.785985853,8.03192857705762
81,41477.2545314436,3229.08010991036,0.0778518285838427,39862.7144764884,315827.530636321,7.61447531193017
82,38248.1744215332,3226.29913765291,0.0843517157733034,36635.0248527068,275964.816159832,7.2151107950519
83,35021.8752838803,3197.85184910193,0.0913101261191979,33422.9493593293,239329.791307126,6.83372290510335
84,31824.0234347784,3142.47009651207,0.0987452168941615,30252.7883865223,205906.841947796,6.4701700075665
85,28681.5533382663,3059.56101229774,0.10667347671912,27151.7728321174,175654.053561274,6.12428662735362
86,25621.9923259686,2949.3289771496,0.115109275642097,24147.3278373938,148502.280729157,5.79589123436922
87,22672.663348819,2812.87008235944,0.124064387102805,21266.2283076392,124354.952891763,5.48479686654195
88,19859.7932664595,2652.22555836891,0.133547490791264,18533.6804872751,103088.724584124,5.1908256647478
89,17207.5677080906,2470.38153881009,0.143563668074284,15972.3769386856,84555.0440968485,4.91382893452702
90,14737.1861692805,2271.20529945091,0.154113904334412,13601.5835195551,68582.6671581629,4.65371519165054
91,12465.9808698296,2059.31291117184,0.165194615062808,11436.3244142437,54981.0836386079,4.41048997369105
92,10406.6679586578,1839.86990893865,0.176797214655819,9486.73300418845,43544.7592243642,4.18431330732882
93,8566.79804971913,1618.33453010562,0.188907748345799,7757.63078466631,34058.0262201757,3.97558411235016
94,6948.46351961351,1400.16131676752,0.201506608304881,6248.38286122975,26300.3954355094,3.78506634758476
95,5548.30220284599,1190.49007375731,0.214568354468263,4953.05716596734,20052.0125742797,3.6140808198937
96,4357.81212908868,993.849863119122,0.228061658850575,3860.88719752912,15098.9554083123,3.46480182280595
97,3363.96226596956,813.908614774219,0.241949388971411,2957.00795858245,11238.0682107832,3.34072362358802
98,2550.05365119534,653.295290577043,0.256188841466457,2223.40600590682,8281.06025220076,3.24740628430268
99,1896.7583606183,1896.7583606183,1,6057.65424629394,6057.65424629394,3.1936879109468
