"Age","lx","dx","qx","Lx","Tx","ex"
25,1e+05,42.6647308414249,0.000426647308414278,99978.6676345793,5423755.40362775,54.2375540362775
26,99957.3352691586,47.1557507478574,0.000471758782093157,99933.7573937846,5323776.73599317,53.2604908049785
27,99910.1795184107,48.2561822962743,0.000482995651983425,99886.0514272626,5223842.97859939,52.2853927775876
28,99861.9233361144,53.6913331914839,0.00053765570898103,99835.0776695187,5123956.92717213,51.3104169837181
29,99808.232002923,51.4880678575719,0.000515869952050371,99782.4879689942,5024121.84950261,50.3377501903397
30,99756.7439350654,54.2682529133745,0.000544005856373066,99729.6098086087,4924339.36153361,49.3634732578983
31,99702.475682152,57.9396337170474,0.000581125326333517,99673.5058652935,4824609.751725,48.3900697421566
32,99644.536048435,62.9187870397,0.000631432384903828,99613.0766549151,4724936.24585971,47.4179160567623
33,99581.6172613953,65.9037645817007,0.000661806530101959,99548.6653791044,4625323.1692048,46.4475602667069
34,99515.7134968136,78.1504733351612,0.000785307873390946,99476.638260146,4525774.50382569,45.4779887999356
35,99437.5630234784,87.0133142717823,0.000875054774333482,99394.0563663425,4426297.86556555,44.5133381287758
36,99350.5497092066,86.2818565306079,0.000868458773334997,99307.4087809413,4326903.8091992,43.5518859418876
37,99264.267852676,98.4049274570425,0.000991342902997992,99215.0653889475,4227596.40041826,42.5893072287874
38,99165.862925219,112.35917288698,0.00113304285943354,99109.6833387755,4128381.33502931,41.6310735695663
39,99053.503752332,120.358221932096,0.00121508293369446,98993.3246413659,4029271.65169054,40.677729702173
40,98933.1455303999,125.969008272077,0.00127327406398266,98870.1610262639,3930278.32704917,39.7266083674807
41,98807.1765221278,147.806640904091,0.00149590997442357,98733.2732016758,3831408.16602291,38.7766182668408
42,98659.3698812237,153.937781869856,0.00156029561160971,98582.4009902888,3732674.89282123,37.8339624235895
43,98505.4320993539,164.750826991556,0.00167250499267267,98423.0566858581,3634092.49183095,36.8923054737281
44,98340.6812723623,193.494938286734,0.00196759810673705,98243.9338032189,3535669.43514509,35.9532737560844
45,98147.1863340756,214.844670275968,0.00218900488440579,98039.7639989376,3437425.50134187,35.0231690763043
46,97932.3416637996,236.328057819323,0.00241317683008779,97814.17763489,3339385.73734293,34.098906251083
47,97696.0136059803,268.877794271975,0.00275218797930064,97561.5747088443,3241571.55970804,33.180182487094
48,97427.1358117083,286.491212181674,0.00294056896771917,97283.8902056175,3144009.9849992,32.2703727129517
49,97140.6445995266,321.6307930638,0.00331098063421083,96979.8292029947,3046726.09479358,31.3640712119428
50,96819.0138064628,340.479538350875,0.00351665984773901,96648.7740372874,2949746.26559058,30.4666010282547
51,96478.534268112,386.716616741192,0.00400831770170255,96285.1759597414,2853097.4915533,29.5723552725686
52,96091.8176513708,414.074739242409,0.00430915710997065,95884.7802817496,2756812.31559355,28.6893554828519
53,95677.7429121284,465.682235830755,0.00486719504094538,95444.901794213,2660927.53531181,27.811353553309
54,95212.0606762976,497.760632541525,0.00522791575989328,94963.1803600268,2565482.63351759,26.9449333970381
55,94714.3000437561,525.867267522553,0.00555214225602276,94451.3664099948,2470519.45315757,26.0839118487518
56,94188.4327762335,584.037814963784,0.00620073821964214,93896.4138687516,2376068.08674757,25.2267504269072
57,93604.3949612697,628.988168192402,0.0067196435429411,93289.9008771736,2282171.67287882,24.3810311879384
58,92975.4067930773,666.821752408723,0.00717202296186539,92641.995916873,2188881.77200165,23.5425888146221
59,92308.5850406686,735.805855433457,0.00797115300932496,91940.6821129519,2096239.77608477,22.7090446155277
60,91572.7791852352,794.303630817551,0.00867401467865046,91175.6273698264,2004299.09397182,21.88749879391
61,90778.4755544176,858.663307724535,0.00945888661910607,90349.1439005554,1913123.46660199,21.0746375164139
62,89919.8122466931,964.787297021656,0.0107294184998384,89437.4185981823,1822774.32270144,20.2711090821753
63,88955.0249496714,1027.50271537204,0.0115508113898386,88441.2735919854,1733336.90410326,19.4855423297777
64,87927.5222342994,1123.68030265225,0.0127796197834165,87365.6820829732,1644895.63051127,18.7074034240171
65,86803.8419316471,1209.62693400896,0.0139351773733873,86199.0284646426,1557529.9484283,17.9430992196723
66,85594.2149976382,1305.21414516703,0.015248859344093,84941.6079250546,1471330.91996366,17.1896070313193
67,84289.0008524711,1404.0157424866,0.0166571643783513,83586.9929812278,1386389.3120386,16.4480453916539
68,82884.9851099845,1514.66044280793,0.0182742440117236,82127.6548885806,1302802.31905737,15.7181945237562
69,81370.3246671766,1696.2640617383,0.0208462245748239,80522.1926363074,1220674.66416879,15.0014722094527
70,79674.0606054383,1819.35301575474,0.0228349478102357,78764.3840975609,1140152.47153248,14.3102091555085
71,77854.7075896836,1994.67574704805,0.025620489868905,76857.3697161595,1061388.08743492,13.6329339650049
72,75860.0318426355,2186.64470876179,0.0288247270090497,74766.7094882546,984530.717718764,12.9782534202079
73,73673.3871338737,2259.01913264938,0.030662620798803,72543.877567549,909764.00823051,12.3486111284303
74,71414.3680012243,2437.08391703009,0.034125960716873,70195.8260427093,837220.130662961,11.72341300631
75,68977.2840841943,2659.48720542488,0.038555986086357,67647.5404814818,767024.304620251,11.1199551389123
76,66317.7968787694,2800.71178269252,0.0422316770837893,64917.4409874231,699376.764138769,10.5458383277908
77,63517.0850960769,2979.03477287474,0.0469013143214713,62027.5677096395,634459.323151346,9.98879785165919
78,60538.0503232021,3217.80871028,0.0531534909548735,58929.1459680621,572431.755441707,9.45573490367783
79,57320.2416129221,3381.06715741773,0.0589855705816758,55629.7080342133,513502.609473645,8.9584864791966
