"Age","lx","dx","qx","Lx","Tx","ex"
25,1e+05,171.722900591049,0.00171722900591055,99914.1385497045,4871101.48526491,48.7110148526491
26,99828.277099409,174.62531044014,0.0017492569792249,99740.9644441889,4771187.34671521,47.7939466185925
27,99653.6517889688,173.725225294023,0.00174329010703913,99566.7891763218,4671446.38227102,46.8768208531233
28,99479.9265636748,177.227150043473,0.00178153680009041,99391.3129886531,4571879.5930947,45.9578102942039
29,99302.6994136313,177.933446532188,0.00179182889873953,99213.7326903652,4472488.28010605,45.0389395909222
30,99124.7659670991,190.558362341297,0.00192240920300929,99029.4867859285,4373274.54741568,44.1188890056722
31,98934.2076047578,187.627339696468,0.00189648600053519,98840.3939349096,4274245.06062975,43.2029038702706
32,98746.5802650614,197.99636139693,0.00200509588145179,98647.5820843629,4175404.66669484,42.2840432092633
33,98548.5839036644,199.233654080468,0.00202167952281506,98448.9670766242,4076757.08461048,41.3679925486873
34,98349.350249584,201.986906199367,0.00205376960485023,98248.3567964843,3978308.11753385,40.4507819059098
35,98147.3633433846,213.373117578492,0.00217400763820793,98040.6767845954,3880059.76073737,39.5330004654567
36,97933.9902258061,218.651743116949,0.00223264407600271,97824.6643542476,3782019.08395277,38.6180433905796
37,97715.3384826892,229.382259122372,0.00234745396868274,97600.647353128,3684194.41959853,37.7033378465061
38,97485.9562235668,240.696634475695,0.00246903906777805,97365.6079063289,3586593.7722454,36.7908764624535
39,97245.2595890911,253.538584401802,0.00260720764665675,97118.4902968902,3489228.16433907,35.8807018366013
40,96991.7210046893,270.184925286143,0.00278564935736207,96856.6285420462,3392109.67404218,34.9731878030928
41,96721.5360794031,298.926563938061,0.00309058950110824,96572.0727974341,3295253.04550013,34.069486270306
42,96422.6095154651,320.556782717351,0.00332449810607892,96262.3311241064,3198680.9727027,33.1735574133126
43,96102.0527327477,333.488325771541,0.00347014778861116,95935.308569862,3102418.64157859,32.2825429151464
44,95768.5644069762,346.423695214646,0.00361730070153797,95595.3525593689,3006483.33300873,31.3932170919096
45,95422.1407117615,402.277002423099,0.00421576166099898,95221.00221055,2910887.98044936,30.5053728488673
