"Edad","esc_bajo","esc_medio","esc_alto","year"
25,116739,26118,419432,2002
26,124786,25844,438554,2002
27,137341,26665,469611,2002
28,138497,26621,468997,2002
29,136179,26289,457317,2002
30,145128,27345,476045,2002
31,131314,25414,432374,2002
32,146490,26186,458710,2002
33,146674,26051,455513,2002
34,147098,24756,447988,2002
35,151678,22995,449825,2002
36,164115,22761,476435,2002
37,166785,21927,481491,2002
38,170207,22309,484689,2002
39,163150,21861,465707,2002
40,166916,22202,473358,2002
41,143984,20474,411084,2002
42,179446,22669,492021,2002
43,152875,19718,422766,2002
44,129933,16913,362311,2002
45,127850,23379,364705,2002
46,122577,22629,349325,2002
47,122123,22479,346161,2002
48,118972,21370,334750,2002
49,106229,21039,303495,2002
50,101318,24311,297901,2002
51,87290,25032,261682,2002
52,106966,32483,312133,2002
53,87905,28764,258126,2002
54,85046,28841,248733,2002
55,74653,27841,221079,2002
56,78050,29189,227067,2002
57,73564,27917,212933,2002
58,74303,28266,212442,2002
59,68483,26457,194757,2002
60,71160,27384,201356,2002
61,58462,22841,164345,2002
62,71360,26137,194905,2002
63,62116,21279,165645,2002
64,58912,19861,156051,2002
65,67713,22978,178758,2002
66,53969,17752,141472,2002
67,54422,18535,142275,2002
68,47506,16961,125949,2002
69,43946,16530,117364,2002
70,49364,18686,131876,2002
71,43616,16076,115294,2002
72,54973,18160,140992,2002
73,46787,14748,118678,2002
74,42714,13538,108188,2002
75,37927,12942,97754,2002
76,33066,10915,84297,2002
77,29526,9020,74024,2002
78,30387,9028,75342,2002
79,22930,7336,58004,2002
80,24614,8107,62755,2002
81,18536,5889,46913,2002
82,21995,6427,54285,2002
83,16416,4851,40837,2002
84,16019,4674,39570,2002
85,13596,4260,34074,2002
86,12756,3742,31672,2002
87,11196,3231,27741,2002
88,8993,2643,22535,2002
89,7172,2223,18139,2002
90,5915,1811,15005,2002
91,4131,1359,10707,2002
92,4572,1312,11476,2002
93,3076,872,7662,2002
94,2288,720,5868,2002
95,1767,546,4560,2002
96,1614,452,4042,2002
97,1153,311,2915,2002
98,1035,266,2530,2002
99,879,184,2232,2002
100,194,51,469,2002
101,133,33,335,2002
102,114,25,293,2002
103,93,21,231,2002
104,57,16,152,2002
105,80,22,210,2002
106,49,12,148,2002
107,48,13,131,2002
108,37,14,106,2002
109,NA,NA,NA,2002
110,NA,NA,NA,2002
