"Edad","esc_bajo","esc_medio","esc_alto","alta","baja","media","mx_bajo","mx_medio","mx_alto","mx_st","esc_totales","totales","prop_alto","prop_medio","prop_bajo","mx_bajo_1","mx_bajo_2","mx_bajo_3","mx_medio_1","mx_medio_2","mx_medio_3","mx_alto_1","mx_alto_2","mx_alto_3","mx_st_1","mx_st_2","mx_st_3"
35,21871,59120,16663,16,88,115,0.00402359288555622,0.00194519621109608,0.000960211246474224,0.00224261166977287,97654,219,0.170633051385504,0.605402748479325,0.223964200135171,0.00411669960280233,0.00411629965762303,0.00409623513656663,0.00194846790023897,0.0019201230877231,0.00191648597736943,0.000867288229135216,0.000867032710055526,0.000864855290530258,0.00225273421160477,0.00224030942832955,0.00223754291703197
36,22849,55287,15882,15,90,116,0.00393890323427721,0.00209814242046051,0.000944465432565168,0.00235061371226786,94018,221,0.168925099449042,0.588046969729201,0.243027930821758,0.00416325654875728,0.00415988292776848,0.00416576102127669,0.00204502055465617,0.00202257021539543,0.00201058732287435,0.000963407338041602,0.000954632012495099,0.000949156892485504,0.00237258985385463,0.00235927414490361,0.00235482419766381
37,22751,51154,15220,15,103,107,0.0045272735264384,0.00209172303241193,0.000985545335085414,0.00252454417952314,89125,225,0.170771388499299,0.573957924263675,0.255270687237027,0.00419969263174583,0.00422110047843857,0.00423668026126057,0.00207422219129115,0.00208906866550453,0.00207649468466646,0.00103320047030848,0.00102580595490589,0.00103298961770862,0.00245249836925145,0.00246488901975825,0.00246743555985234
38,24680,50669,13680,16,102,103,0.00413290113452188,0.00203280112100101,0.00116959064327485,0.00248233721596334,89029,221,0.15365779689764,0.569129160161296,0.277213042941064,0.0043003522548126,0.00432905737757466,0.00437462648937934,0.00214796325056627,0.00211784517309943,0.00213495688721879,0.00108081005636758,0.00111853088572487,0.0011328778706239,0.00256957883616868,0.00257814351489516,0.00260453154759331
39,24759,45271,12876,14,105,105,0.00424088210347752,0.00231936559828588,0.00108729419074247,0.00270185511301956,82906,224,0.155308421585892,0.546052155453164,0.298639422960944,0.00448712724616556,0.00457372161212478,0.00456354045105634,0.00213135007744086,0.00219795682305241,0.00218917597524574,0.00124158213049856,0.00125429677124094,0.00126882757957996,0.00271235333926536,0.00277056210812651,0.00276798350943547
40,26142,40159,12944,19,133,82,0.00508759850049728,0.00204188351303568,0.00146786155747837,0.00295286768881317,79245,234,0.16334153574358,0.506770143226702,0.329888321029718,0.00493368533539618,0.00478784236346958,0.00477609796478011,0.00231455714115011,0.00225172592958537,0.00227394366482344,0.00144049812685669,0.00143365508177406,0.00142196285623307,0.00302975414894549,0.00295524490528473,0.00296179241823345
41,24303,34851,11889,21,133,90,0.00547257540221372,0.00258242231212878,0.00176633863234923,0.00343453964500373,71043,244,0.167349351801022,0.490562053967316,0.342088594231662,0.004942714508847,0.00496672991874596,0.00494210274719051,0.00230927057016514,0.00237214824183255,0.00235650440607037,0.00161888498796692,0.0015779367156842,0.00154946504232075,0.00312362722764334,0.00315957024128912,0.00314494399784042
42,33974,39505,12327,20,145,91,0.00426796962382999,0.00230350588533097,0.00162245477407317,0.00298347434911312,85806,256,0.143661282427802,0.460399039694194,0.395939677878004,0.00502378991199471,0.005071735959356,0.0051711111982295,0.00249261701418238,0.0024456390467932,0.00249218335119028,0.001674427032229,0.00163680332950399,0.00162403117031988,0.00332532934727852,0.00332001684694742,0.00337904012372762
43,28701,33180,9789,16,153,86,0.00533082470994042,0.0025919228450874,0.00163448769026458,0.00355797404771871,71670,255,0.13658434491419,0.462955211385517,0.400460443700293,0.00524870345722629,0.00547486771658655,0.00548954519995181,0.00253502955603206,0.00265876276494509,0.00265813864641965,0.00161709796831605,0.00165735346577144,0.0016675756505914,0.00351109396592041,0.00365753328294633,0.00366331072713243
44,27329,29524,8781,14,168,80,0.00614731603790845,0.00270965993767782,0.00159435144061041,0.0039918335009294,65634,262,0.13378736630405,0.449827833135265,0.416384800560685,0.00615210978053866,0.00592203192391289,0.00591153122286075,0.00294864172462081,0.00287001412752067,0.00287943445176338,0.00168053539676928,0.00170857015649877,0.00171270319218955,0.00413617653564005,0.00401238205150355,0.00401154618241465
45,27371,26239,7723,14,191,93,0.00697818859376713,0.00354434239109722,0.00181276705943286,0.00485872205827206,61333,298,0.125919162604145,0.427812107674498,0.446268729721357,0.00636528253397373,0.00633769402808279,0.00623557803487425,0.00312637110190912,0.00310952646282438,0.003060938141704,0.00182807710441098,0.00177218595429844,0.00181408319959773,0.00438987565295018,0.00436472321279409,0.00430498161325736
46,30819,28159,7703,16,184,88,0.00597034297024563,0.00312511097695231,0.00207711281318967,0.00431907139964908,66681,288,0.11552016316492,0.42229420674555,0.462185630089531,0.00649568976973597,0.00644700815262708,0.00647616820704352,0.00325356656194322,0.00320327383476695,0.00323870012568257,0.00180794536171506,0.00196149348799598,0.00193860682605187,0.00456811744979203,0.00453783957547443,0.00456072060890538
47,30282,27497,7171,11,198,85,0.00653853774519517,0.00309124631778012,0.00153395621252266,0.00452655889145497,64950,294,0.110408006158584,0.423356428021555,0.466235565819861,0.00648005215417154,0.00664380244042069,0.00670379877280261,0.00322988384044853,0.00340330007945637,0.00344194483500865,0.0022484579978619,0.00208214103586119,0.00213420364364647,0.0046555256236811,0.00477959903844762,0.00482880244866417
48,30586,25912,6381,20,212,90,0.00693127574707382,0.00347329422661315,0.00313430496787337,0.00512094657993925,62879,322,0.101480621511156,0.412093067637844,0.486426310851,0.00695566539735457,0.00702058572536004,0.00712280714005304,0.00372644983597738,0.00371926059080263,0.00380530953742481,0.00219001974800661,0.00235897640708223,0.00229492704377854,0.00511515404186972,0.00516896873207046,0.00524559421239053
49,28254,24053,5784,11,209,111,0.00739718269979472,0.00461480896353885,0.00190179806362379,0.00569795665421494,58091,331,0.0995679192990308,0.414057254996471,0.486374825704498,0.00762603962455403,0.00770403325437839,0.00767594003097486,0.004201448095982,0.00429336794201543,0.00424831415927165,0.00263845147537819,0.00244366368839218,0.00254145364813353,0.00573622653066055,0.00578821486665351,0.00576890925580822
50,29007,23028,5557,16,248,104,0.00854966042679353,0.00451624109779399,0.00287925139463739,0.00638977635782748,57592,368,0.0964890957077372,0.399847201000139,0.503663703292124,0.00853039474122657,0.00830320111318614,0.00830875759728876,0.00495220589408693,0.00473231394499689,0.00472641518054764,0.00250251984179176,0.00282172084892617,0.0027896378404337,0.00651326402743025,0.00634954416870069,0.00634965225529188
51,26233,20260,4768,13,253,116,0.00964434109709145,0.00572556762092794,0.00272651006711409,0.00745205907024834,51261,382,0.0930141823218431,0.395232242835684,0.511753574842473,0.00875316897377782,0.00891903842430175,0.00888939589146283,0.00504328784492174,0.00515356365463061,0.00509709327354126,0.00332419122960857,0.00310352898398275,0.00318198580605014,0.00679914194801127,0.00691119773052145,0.00688668716444742
52,32608,22913,5038,22,263,112,0.00806550539744848,0.00488805481604329,0.00436681222707424,0.00655559041595799,60559,397,0.0831915982760614,0.378358295216235,0.538450106507703,0.00947355155790085,0.0094459481369006,0.00958182568835621,0.00546519722488315,0.00540540222099628,0.00555322598782345,0.00348387588054792,0.00362070758524148,0.00356585375186713,0.00742118721612283,0.00739931959412013,0.00752124905056385
53,25675,17814,3871,13,275,103,0.0107108081791626,0.00578196923767823,0.00335830534745544,0.00825591216216216,47360,391,0.0817356418918919,0.376140202702703,0.542124155405405,0.0101111238790231,0.0103804905038663,0.0103672609497097,0.00570772159318395,0.00610071208784347,0.00613681354547556,0.00405405564556794,0.00397332468637717,0.00406796671466063,0.00797762961822628,0.00825322982704998,0.00826698956049557
54,25439,16891,3606,16,294,109,0.0115570580604584,0.00645314072583032,0.00443704936217415,0.00912138627655869,45936,419,0.0785005224660397,0.367707244862417,0.553792232671543,0.0115567960746748,0.0112753442083621,0.0113056756879855,0.0071292174454633,0.00690432632758694,0.00698819865954289,0.00438204253301565,0.00460986787236325,0.00461358476487364,0.00936087264680081,0.00914841926031659,0.00919371771964899
55,24108,14750,3364,18,299,135,0.0124025219844035,0.00915254237288136,0.00535077288941736,0.0107053195016816,42222,452,0.0796741035479134,0.349343943915494,0.570981952536592,0.0121581126713884,0.0122611923517281,0.0121935922201175,0.00787603994411356,0.00795955756319826,0.00782976599918542,0.00539350543850615,0.0052575617358805,0.0052494681951142,0.0101067555159227,0.0101795040715804,0.0100946332709848
56,25410,15332,3285,21,318,123,0.0125147579693034,0.00802243673362901,0.00639269406392694,0.0104935607695278,44027,462,0.0746133054716424,0.348240852204329,0.577145842324028,0.0130686683091211,0.0130442401002624,0.0131328401818114,0.00887341530001792,0.00862541410677104,0.00866618196358795,0.0059971372361197,0.00588097497709885,0.00584709091765541,0.0110708840520177,0.0109559764810574,0.0110133230054919
57,23725,14187,3041,19,339,134,0.0142887249736565,0.00944526679354338,0.0062479447550148,0.0120137718848436,40953,492,0.0742558542719703,0.346421507581862,0.579322638146168,0.0139059393202775,0.0140930880934438,0.0141786678061802,0.00912678707618164,0.00941357422079455,0.00937718017862931,0.00625228225667069,0.00640273603998688,0.00640517073247209,0.0116902898752319,0.0119044884638378,0.0119375262704837
