"Edad","esc_bajo","esc_medio","esc_alto","NA","alta","baja","media","mx_bajo","mx_medio","mx_alto","mx_st","esc_totales","totales","prop_alto","prop_medio","prop_bajo","mx_bajo_1","mx_bajo_2","mx_bajo_3","mx_medio_1","mx_medio_2","mx_medio_3","mx_alto_1","mx_alto_2","mx_alto_3","mx_st_1","mx_st_2","mx_st_3"
25,12341,67360,64569,3426,24,22,110,0.00178267563406531,0.00163301662707838,0.000371695395623287,0.00108130588479933,144270,156,0.447556664587232,0.466902335897969,0.0855409995147986,0.00178267563406531,0.00178267563406531,0.00178267563406531,0.00163301662707838,0.00163301662707838,0.00163301662707838,0.000371695395623287,0.000371695395623287,0.000371695395623287,0.00108130588479933,0.00108130588479933,0.00108130588479933
26,12599,69165,66962,3245,29,24,111,0.00190491308834034,0.0016048579483843,0.000433081449180132,0.00110269892285142,148726,164,0.45023734921937,0.465049823164746,0.0847128276158842,0.00188340673957197,0.00183336808787605,0.00182560500329228,0.00164395766037041,0.00166438513881481,0.00167045238250768,0.000396749187951523,0.000403911628495918,0.000399618558989351,0.00110468448873884,0.00111375538799917,0.00111455752021783
27,12738,70248,67450,3405,26,25,119,0.00196263149631025,0.00169399840564856,0.000385470719051149,0.00113004865856577,150436,170,0.448363423648595,0.466962695099577,0.084673881251828,0.00183402188999087,0.00186077128793549,0.00184514848491483,0.00171618112899563,0.00171395538162984,0.00171800745558284,0.000443290301912945,0.000423248652848847,0.000421952671109985,0.00115527579045933,0.00114861128785499,0.00114926469970961
28,12236,67579,64539,3245,33,20,125,0.001634521085322,0.00184968703295402,0.000511318737507554,0.00123307978996079,144354,178,0.447088407664491,0.46814774789753,0.0847638444379789,0.00186488523424363,0.00184130607893296,0.00186955409203976,0.00178172735552348,0.00177568184630388,0.00176658155135915,0.000429706468682074,0.000438697731985189,0.000429409509193848,0.00118587358436679,0.00118542742327468,0.00118035980050985
29,12015,64946,61173,3024,24,24,117,0.00199750312109863,0.00180149662796785,0.000392329949487519,0.00119449230457382,138134,165,0.442852592410268,0.470166649774856,0.0869807578148754,0.00182501111256438,0.00190658490925083,0.00190806017957499,0.00182913705439253,0.00181010742614372,0.00181273644545594,0.000443096425360549,0.000426282142747508,0.000429876085402943,0.00121513289499791,0.00120704069039988,0.00121040007179958
30,11937,63173,58735,2962,25,22,116,0.00184300913127251,0.00183622750225571,0.000425640589086575,0.00121782659045911,133845,163,0.438828495647951,0.471986252755052,0.0891852515969965,0.00202985838094448,0.00197628955054117,0.00198217171909655,0.00181945786851516,0.00185242006392023,0.00185678831707242,0.000406043534199902,0.000424648381476131,0.000425543724192982,0.00122011559183494,0.00123873210172419,0.00124209980951069
31,12005,60418,54978,2840,22,27,110,0.00224906289046231,0.00182064947532192,0.00040016006402561,0.0012480278804719,127401,159,0.43153507429298,0.474234896115415,0.0942300295916045,0.00207399915811466,0.00206364069749766,0.00203639969970497,0.00190866526885299,0.00190783746115332,0.00192529972369692,0.000424805184867943,0.000425700648355307,0.000433711555728218,0.00128094781833971,0.00128052663640799,0.00129023704885871
32,12207,58479,53498,2699,24,26,121,0.00212992545260916,0.00206911882898134,0.000448614901491645,0.00137698898408813,124184,171,0.430796237840624,0.470906074856664,0.0982976873027121,0.00208706455343383,0.00206926885107608,0.00205906475549856,0.00199538924609181,0.00201564164601722,0.00200612223851661,0.000446253225998075,0.000450785637353217,0.000452456049525396,0.00134051649904933,0.00135145240844394,0.00134776825739027
33,12751,57241,51022,2545,25,24,120,0.00188220531723002,0.00209639943397215,0.000489984712476971,0.00139653263258797,121014,169,0.421620638934338,0.473011387112235,0.105367973953427,0.00204674284167976,0.00204428471792195,0.00205649150690954,0.00214287042310685,0.00209488760837929,0.00209959365490441,0.000481298501193633,0.000480881862867665,0.000477756903281844,0.00143289290794279,0.00141132572731886,0.00141451771263166
34,14567,59211,51455,2636,26,31,134,0.00212809775520011,0.00226309300636706,0.000505295889612283,0.00152515710715227,125233,191,0.410874130620523,0.472806688332947,0.116319181046529,0.00199904675865226,0.0020559209517306,0.00206424009818496,0.00214640315593923,0.00218825171031671,0.00218295645877003,0.000515093861411288,0.000501603209624648,0.000498118027554467,0.00146056777496446,0.00148077500213217,0.00147819005706489
35,16106,61066,50909,2760,28,32,127,0.00198683720352664,0.00207971702747847,0.000550000982144611,0.00146001358515315,128081,187,0.397475035329206,0.47677641492493,0.125748549745864,0.00212197325485977,0.00209251462490233,0.00209449451299997,0.00227548155190405,0.00226573005761408,0.00228430053150681,0.000508417266269024,0.000511869010171089,0.000512948011985983,0.00154886432348926,0.00154246944174365,0.00155093852248506
36,15993,56369,46813,2525,22,36,140,0.00225098480585256,0.00248363462186663,0.000469954927050178,0.00166142227816237,119175,198,0.392808894482903,0.472993496958255,0.134197608558842,0.00215652386119496,0.00213504796236698,0.00211999173957085,0.00237530546499897,0.00239891982658965,0.00238934884656321,0.000512095902832955,0.000525371816162213,0.000533980231158899,0.00161797622677723,0.00162957112357938,0.00162646456944268
37,17027,55023,44545,2480,23,38,141,0.00223174957420567,0.00256256474565182,0.000516331799304075,0.00173249281701617,116595,202,0.382048972940521,0.471915605300399,0.146035421759081,0.0021266467710462,0.00213241263144325,0.00212618048982163,0.00254597246286592,0.0025033966554859,0.00250250243839232,0.000555602279384662,0.000564699867143395,0.000570687047896998,0.00172187282047164,0.001707353143005,0.00170796144681148
38,17394,52089,41145,2482,28,33,135,0.00189720593308037,0.00259171802107931,0.000680520111799733,0.0017717033662364,110628,196,0.371922117366309,0.4708482481831,0.157229634450591,0.00211406726208858,0.00211108087565466,0.00212127589691586,0.00258891203859282,0.0026051908331014,0.00259161259333305,0.00062640141921257,0.000621989460385385,0.000620914817286899,0.00178221038176613,0.00178696007385006,0.00178201479430106
39,18073,50910,39569,2330,27,40,133,0.00221324627897969,0.00261245334904734,0.000682352346533903,0.00184243496204584,108552,200,0.364516545065959,0.468991819588769,0.166491635345272,0.00209252859382921,0.00212033418364967,0.00211641791300331,0.00268068799784545,0.00266625029141185,0.00268117131538075,0.000683964682558923,0.000676055124331916,0.000673255218534265,0.0018567970193124,0.00185173116604811,0.0018572082209781
40,18919,51799,39186,2458,27,41,147,0.00216713356942756,0.00283789262340972,0.000689021589343133,0.00195625272965497,109904,215,0.356547532391906,0.471311326248362,0.172141141359732,0.00215440669503121,0.00211783867970561,0.00214649940525311,0.00272915083779727,0.002772072821629,0.00277555839722956,0.000717799271224257,0.000721721070885493,0.000721595577254243,0.0019161860970658,0.00193293342303612,0.00194111030552436
41,21125,53341,38362,2654,30,44,146,0.00208284023668639,0.00273710654093474,0.000782023877795735,0.00194987059949658,112828,220,0.340004254263126,0.472763852944305,0.187231892792569,0.0021065807502564,0.00220132535240406,0.00222204051658714,0.00290637962924429,0.00288835207864782,0.00292782752941899,0.000763399258873298,0.00076701053654532,0.000773243721396046,0.00202581715273016,0.00203866632748885,0.00206466169591252
42,23191,55023,37844,2518,31,48,173,0.00206976844465525,0.0031441397233884,0.000819152309481027,0.00217132812903893,116058,252,0.326078340140275,0.474099157317893,0.199822502541833,0.00234298861192456,0.00234695751765175,0.00238014349296792,0.00302952576890191,0.00312305768798014,0.00312662769091623,0.000819833079538403,0.000830999556757325,0.000835022584382604,0.0021739957326706,0.00222238533721259,0.00223254921152001
43,24684,56745,37282,2663,32,71,182,0.00287635715443202,0.00320733104238259,0.000858323051338448,0.00240078846947629,118711,285,0.314056827084263,0.478009620001516,0.20793355291422,0.0025913031907743,0.00259214760884795,0.00257118638069346,0.00343326766579422,0.00336847330612074,0.00339145487323155,0.000909766331860275,0.000907057659845167,0.000908831349290016,0.002467343126237,0.00243659596985859,0.00244412933232552
44,25108,55973,35177,2622,37,71,221,0.00282778397323562,0.00394833223161167,0.00105182363476135,0.00282991278019577,116258,329,0.302577026957285,0.481455039653185,0.21596793338953,0.002842151023845,0.00277445401558068,0.00274859526326192,0.00364262648366608,0.00368283362559377,0.00365357142568237,0.000991573568136823,0.000988436831267556,0.000980594406145428,0.00266844905066818,0.00267340668990538,0.00265254488195195
45,25511,55140,32877,2662,35,72,208,0.00282231194386735,0.00377221617700399,0.00106457401831067,0.00277464590233246,113528,315,0.2895937566063,0.48569515890353,0.22471108449017,0.00288990783212273,0.00287918416535713,0.00286947372851032,0.00397260672732099,0.0039094073453326,0.00391910687549879,0.00106397059380557,0.00104628872732356,0.00104205979849353,0.00288442789281098,0.00284763198609188,0.00285040401777691
46,25831,53368,30683,2538,33,78,224,0.00301962757926522,0.00419727177334732,0.00107551412834469,0.0030487249959047,109882,335,0.279235907609982,0.485684643526692,0.235079448863326,0.00290549364010366,0.00295478300459314,0.00296606195724266,0.00411298882501073,0.00416507965557,0.00414245583293269,0.00108332202002829,0.00109145383688947,0.00111256487550939,0.0029900190147965,0.00303017337733345,0.00302835598937767
47,26439,52409,27931,2536,31,76,229,0.00287454139717841,0.00436947852468088,0.00110987791342952,0.00314668614615233,106779,336,0.261577651036252,0.490817482838386,0.247604866125362,0.00306894754155302,0.0030642187017777,0.00311522769654854,0.00440964341437826,0.00435288049789546,0.00436398690233274,0.00112706889683455,0.00119995206231514,0.00121488742002911,0.00321607322439286,0.00320726260470767,0.00323008847153147
48,28074,53194,26760,2816,32,93,248,0.00331267364821543,0.00466217994510659,0.00119581464872945,0.00345280853112156,108028,373,0.247713555744807,0.492409375347132,0.259877068908061,0.00321821492367642,0.00332668138327477,0.00334608409354126,0.00453600925429739,0.00457400055353276,0.00458717765814887,0.00138946527008259,0.0013532563608827,0.00136084323199101,0.00341569557493365,0.00345282943255329,0.00346595476165193
49,29705,55284,25769,2956,48,103,253,0.00346742972563541,0.0045763692931047,0.00186270324808879,0.00364759204752704,110758,404,0.232660394734466,0.49914227414724,0.268197331118294,0.00369288168459487,0.00364735219557132,0.00366399268696611,0.00477634899192262,0.00483465192301838,0.00489515133129349,0.00154323491573097,0.00152932127277519,0.00150602718172928,0.00372671949833335,0.00373777224769484,0.0037625612336383
50,31406,54808,24822,3107,39,135,279,0.00429854167993377,0.00509049773755656,0.00157118685037467,0.00407975791635145,111036,453,0.223549119204582,0.493605677437948,0.28284520335747,0.00403095997844268,0.00401794448205223,0.00398466295049513,0.00519159752283514,0.00527680151732932,0.00531502086238419,0.00165526363251201,0.00163550391152995,0.00164319027383551,0.00407090166981753,0.00409708202066678,0.00410488327046765
51,33049,53826,24153,3150,37,143,318,0.00432690852975884,0.00590792553784416,0.00153190079907258,0.00448535504557409,111028,498,0.217539719710343,0.484796627877652,0.297663652412004,0.00432999178311914,0.00428869217386183,0.00427672097888594,0.00586245803723021,0.00583360914680486,0.00585343725526029,0.00170801318634686,0.0017647456372014,0.00176932072858721,0.00449362489384946,0.00447979554304132,0.00448397069380443
