"Edad","esc_bajo","esc_medio","esc_alto","NA","alta","baja","media","mx_bajo","mx_medio","mx_alto","mx_st","esc_totales","totales","prop_alto","prop_medio","prop_bajo","mx_bajo_1","mx_bajo_2","mx_bajo_3","mx_medio_1","mx_medio_2","mx_medio_3","mx_alto_1","mx_alto_2","mx_alto_3","mx_st_1","mx_st_2","mx_st_3"
35,14677,60817,55813,2311,16,13,45,0.000885739592559787,0.000739924692109114,0.000286671563972551,0.000563564775678372,131307,74,0.425057308445094,0.463166472465291,0.111776219089614,0.000870334064803103,0.000888971739211254,0.000879785355923842,0.000795460359501085,0.000796135922200153,0.000809363730112994,0.000289323524402203,0.000296931485245718,0.000299890253260854,0.000588768950215273,0.000594549412479676,0.000600498216237775
36,14665,56834,50494,2057,14,13,50,0.000886464370951244,0.00087975507618679,0.000277260664633422,0.000631183756445042,121993,77,0.413908994778389,0.465879189789578,0.120211815432033,0.000927945917359857,0.00089413645894701,0.000887170584062764,0.000838081325067781,0.000861951827505896,0.000864581708845806,0.000314610448095085,0.000329887158456711,0.000334460642893313,0.000633952070714903,0.000646835676881297,0.000648933813829881
37,15816,57011,47381,2132,18,16,51,0.00101163378856854,0.000894564206907439,0.000379899115679281,0.000707107680021296,120208,85,0.394158458671636,0.474269599361107,0.131571941967257,0.000884129394678069,0.000878403554030028,0.000863167513446487,0.000952313797948823,0.000935657376831369,0.000943903885033863,0.000385727502872845,0.000376563284977508,0.000377755425912675,0.000717786009713715,0.000705416352128671,0.000707519627905357
38,15909,55421,43998,2002,22,12,60,0.000754290024514426,0.00108262211075224,0.000500022728305832,0.000815066592674806,115328,94,0.381503190899001,0.480551123751387,0.137945685349612,0.000823135350052159,0.000816962527362423,0.000823240798825252,0.0010165770074775,0.00103410245076433,0.00103422934470701,0.000429351903964596,0.000426815834303805,0.000421480542828193,0.000764510975957395,0.000770306854706104,0.000768787806046415
39,17058,54077,41653,2043,17,12,58,0.000703482237073514,0.00107254470477282,0.000408133867908674,0.000771358655176083,112788,87,0.369303472000567,0.479457034436288,0.151239493563145,0.000743622837357042,0.000774356315083304,0.000792315294968462,0.00113341654686665,0.00113292820652532,0.00113985284137009,0.000465368096073974,0.000461062509203266,0.000457708648704228,0.000828623578447203,0.000830640211304471,0.00083545837409121
40,18109,55418,40988,2100,20,14,69,0.000773096250483185,0.00124508282507489,0.000487947692007417,0.000899445487490722,114515,103,0.357926909138541,0.483936602191853,0.158136488669607,0.000756310757840711,0.000785627042459659,0.000799113879019923,0.00124879106523182,0.00125252786682061,0.00125746345088362,0.000488467527571228,0.000485247602605613,0.000479335421185341,0.000898786079508816,0.000905428056263054,0.000908128670804312
41,20193,57393,40399,2143,23,16,82,0.000792353785965434,0.00142874566584775,0.000569321022797594,0.00102555409585964,117985,121,0.342407933211849,0.486443191931178,0.171148874856973,0.000856947532181225,0.000837358279516807,0.000848818114644647,0.00137537598836336,0.00138693427930493,0.00138555413602829,0.000501907184171637,0.000491696151747143,0.0004914744308438,0.000988874510833144,0.000988317744845411,0.000990308645561073
42,21882,59905,40138,2235,18,22,87,0.00100539256009506,0.00145229947416743,0.000448452837709901,0.00104162394914907,121925,127,0.32920237851138,0.491326635226574,0.179470986262046,0.000898816548528487,0.000923469021957474,0.000921773773822561,0.00153663578431961,0.00151720026195933,0.00151709372918698,0.000484713743498562,0.000497479538178645,0.000502974179968007,0.00107729264419427,0.00107718013557475,0.00107927303331648
43,23367,61312,38958,2343,17,21,106,0.000898703299524971,0.00172886221294363,0.000436367369988192,0.00116469988757411,123637,144,0.315099848750779,0.495903329909331,0.18899682133989,0.00101464298516271,0.0010044940199934,0.0010221463643176,0.00163958901319504,0.00164714664629667,0.00164534321483145,0.000505817686865734,0.000519746849978235,0.00052755861323502,0.00116537325169684,0.00117232121952927,0.00117813981932171
44,24565,61579,36356,2446,23,28,107,0.0011398330958681,0.00173760535247406,0.000632632852899109,0.00128979591836735,122500,158,0.296783673469388,0.502685714285714,0.200530612244898,0.00110002252628901,0.00113847605100193,0.00113694190022447,0.00176521514137535,0.00177168273623835,0.0017792884675529,0.000568709119570407,0.000565449451548182,0.000566099985723538,0.0012742977626967,0.00128491810286111,0.00128893100489416
45,25366,60683,34530,2370,22,32,111,0.00126153118347394,0.00182917785870837,0.000637127135823921,0.00136839748214863,120579,165,0.286368273082378,0.503263420661973,0.21036830625565,0.00130076264155408,0.00126785562967807,0.00127745326089802,0.00191024405414465,0.00191903602012369,0.00192458629573615,0.000621821548208403,0.000613103655644198,0.000610157015046721,0.00141508329418979,0.00140955369229211,0.00141414854835501
46,25984,58689,31895,2448,19,39,127,0.0015009236453202,0.00216394895125151,0.000595704655902179,0.00158705648205339,116568,185,0.273617116189692,0.503474366893144,0.222908516917164,0.00140278172119112,0.00142602810201407,0.00140562112440532,0.00208164886485108,0.0020830401308464,0.00208620116450777,0.000648780299153785,0.000651917937947783,0.000652258894245178,0.00153928001998985,0.00154797384991181,0.001545345890308
47,26973,57287,29432,2477,21,39,129,0.00144589033477922,0.00225181978459336,0.000713509105735254,0.00166238609576751,113692,189,0.258874854871055,0.503878900890124,0.237246244238821,0.001574539943297,0.00152297964152383,0.00152381558037348,0.00225722747354348,0.00225652734255321,0.00226534150513695,0.00068515196648116,0.000691755089143553,0.000697639057252818,0.00168955823555579,0.00167851012872009,0.00168479523877723
