"Edad","esc_bajo","esc_medio","esc_alto","alta","baja","media","mx_bajo","mx_medio","mx_alto","mx_st","esc_totales","totales","prop_alto","prop_medio","prop_bajo","mx_bajo_1","mx_bajo_2","mx_bajo_3","mx_medio_1","mx_medio_2","mx_medio_3","mx_alto_1","mx_alto_2","mx_alto_3","mx_st_1","mx_st_2","mx_st_3"
35,36066,51056,33545,7,23,54,0.000637719736039483,0.00105766217486681,0.000208674914294232,0.000696130673672172,120667,84,0.277996469623012,0.423114853273886,0.298888677103102,0.000680927385928514,0.000668349728620891,0.000666001215784121,0.00104133721537511,0.00101163917223566,0.00100532415222018,0.000254245698752886,0.000233894828268085,0.000233452301952085,0.000713111810736264,0.000691153441442556,0.000687642395221786
36,40554,52454,34139,10,26,55,0.000641120481333531,0.00104853776642391,0.00029292012068309,0.000715707016288233,127147,91,0.268500239879824,0.412546108048165,0.318953652072011,0.000666333348797711,0.000685017236799971,0.000692373429415452,0.0010693551712303,0.00107797820788226,0.00107403374342142,0.000226117184291306,0.000236461843562232,0.000231594130838865,0.000714899464142225,0.000726894827894465,0.000726260709357234
37,43046,52638,33945,6,31,58,0.000720159829020118,0.00110186557240017,0.000176756517896597,0.000732860702466269,129629,95,0.261862700475974,0.406066543751784,0.332070755772242,0.000707790975673687,0.000723753322825493,0.000731088942983112,0.00112324223704138,0.00113248385014635,0.00114680976266056,0.000229022647642504,0.000224425720686279,0.000228105232423286,0.000752673208804907,0.00076073385873468,0.00077012988133505
38,44614,51668,32200,7,34,63,0.000762092616667414,0.00121932337230007,0.000217391304347826,0.000809451907660217,128482,104,0.250618763717875,0.402141934278732,0.347239302003393,0.000797135644005082,0.000784496269323872,0.000791835598713295,0.00120485414216736,0.00122996722995308,0.00124860017303802,0.000218137330125025,0.000223428133021346,0.000231657967358482,0.00081462890325691,0.000822760957376004,0.000835183110478023
39,42897,49483,30738,8,39,64,0.000909154486327715,0.00129337348180183,0.000260264168130653,0.000901574099644244,123118,111,0.249662924998782,0.401915235790055,0.348421839211163,0.000848562188292846,0.000867257203990519,0.000865050071977995,0.0013618053106505,0.00138334943901463,0.0013843893771057,0.000223124421296507,0.00024712004836782,0.000255455373745147,0.000900980760066197,0.000922054515323383,0.000924579260283191
40,44600,52139,31296,6,39,82,0.000874439461883408,0.00157271907784959,0.000191717791411043,0.00099191627289413,128035,127,0.244433162807045,0.407224587026985,0.34834225016597,0.00095607377967363,0.000943396742619593,0.000951604576750038,0.00158338886422604,0.0015398514623494,0.00153498762657227,0.000300098393681929,0.000295817939846276,0.000307209104342707,0.00105055388264704,0.00102892230815018,0.00103297656373381
41,37801,45115,26767,12,41,85,0.00108462739080977,0.00188407403302671,0.000448313221504091,0.00125817127540275,109683,138,0.244039641512358,0.411321718041994,0.344638640445648,0.0010255542598923,0.00104415978364,0.00106010590567673,0.00167436021217165,0.00168176197835277,0.00166910822351998,0.000364231004560392,0.000378689324814024,0.000372208030852384,0.00113523228173731,0.00114795286772786,0.00114728753467982
42,48318,53630,28719,13,54,84,0.00111759592698373,0.00156628752563864,0.000452662000766043,0.00115560929691506,130667,151,0.219787704623202,0.410432626447381,0.369779668929416,0.00115085131135407,0.00119276119077059,0.00121556944115818,0.00178753685866061,0.00178571122985778,0.00179861009436947,0.000471738576199749,0.000442116827896851,0.000443390172634708,0.00125807243879924,0.00126498742816141,0.00127825690181628
43,41589,47065,25280,13,52,90,0.00125033061626872,0.00191224901731648,0.000514240506329114,0.00136043674407991,113934,155,0.221882844453807,0.413090034581424,0.365027120964769,0.00140187800106539,0.00140978734906396,0.00142762418143315,0.00189523661874108,0.00192835707489786,0.00194066799564849,0.000490380902930413,0.000509364365193248,0.000497759640006636,0.00140165756394768,0.00142183040955956,0.00143031318558791
44,34826,39870,21815,11,64,88,0.00183770745994372,0.00220717331326812,0.000504240201696081,0.00168892665084809,96511,163,0.226036410357369,0.413113531100082,0.36085005854255,0.00167663273477242,0.0016803240044649,0.00166479230905512,0.00210229774729189,0.00210793568218985,0.00211608022054418,0.000565973616449581,0.000541797726929808,0.000545056452216207,0.00160576122593175,0.00160412171904277,0.00160280730809381
45,34503,42972,22077,15,67,94,0.0019418601281048,0.00218747091129107,0.000679440141323549,0.00176792028286725,99552,176,0.22176350048216,0.431653809064609,0.34658269045323,0.0019624612775569,0.0019042655736365,0.00189562918053163,0.00232627268053657,0.00231194790454485,0.00231457259161105,0.00056903866140943,0.000584007264525564,0.000583545439798392,0.00180494636724889,0.00178246979567911,0.00178032249006244
46,34633,39858,21015,11,73,103,0.00210781624462218,0.00258417381705053,0.00052343564120866,0.00195799216803133,95506,187,0.220038531610579,0.417335036542207,0.362626431847214,0.00207370270858018,0.00210229796349348,0.00209222708547471,0.00250727328580607,0.00252383418809845,0.00252954978169965,0.00061700951571768,0.000624831327939804,0.000641808799271364,0.00193670179385669,0.00195437595546542,0.00195628074827995
47,35921,38543,20057,13,78,106,0.00217143175301356,0.00275017512907662,0.000648152764620831,0.00208419293067149,94521,197,0.21219623152527,0.4077718179029,0.380031950571831,0.00227072990434337,0.00227011771929415,0.00229865292867357,0.00273795659795269,0.00275286725245567,0.00274216272420092,0.000688445806692301,0.000716587805348725,0.000728288047199438,0.0021214797052907,0.00213199649369533,0.00214059784946996
48,37111,34728,19021,17,94,100,0.00253294171539436,0.00287952084773094,0.000893749014247411,0.00232225401716927,90860,211,0.209344045784724,0.382214395773718,0.408441558441558,0.00246592054495889,0.00252354310323308,0.00256305694320421,0.00301337187360823,0.00294978673204866,0.00295158716661771,0.000844308093636194,0.000843445008309784,0.000846924469484854,0.0023378079819386,0.00233542109924912,0.00235340692113178
49,34529,30788,17154,17,93,105,0.00269338816646877,0.00341041964401715,0.000991022502040341,0.00260697699797505,82471,215,0.208000388015181,0.373319106110027,0.418680505874792,0.00283397886039697,0.0028955100070854,0.0029021654794329,0.00309803172458504,0.00315210751534881,0.00311177003466469,0.000997581124600857,0.000980740594796053,0.000977596253388355,0.00254697561051807,0.00259280317045088,0.00258206778900414
50,35108,31290,18051,20,115,94,0.00327560669932779,0.00300415468200703,0.00110797185751482,0.0027116958164099,84449,229,0.213750310838494,0.370519485133039,0.415730204028467,0.00338663061590033,0.00328744332798023,0.00328877374143633,0.00334491894785315,0.00323341585659661,0.00324813666912822,0.00110033256615111,0.00110860315705923,0.0011190288034397,0.00289362591889595,0.00281797909731241,0.00283132313661183
51,30781,26518,14975,18,129,96,0.00419089698190442,0.00362018251753526,0.00120200333889816,0.0033622049423029,72274,243,0.207197609098708,0.366909261975261,0.425893128926031,0.0036417205076434,0.00368336788924337,0.00367521337230059,0.00325729689735164,0.00335888663543923,0.00332960656973593,0.00122789578042572,0.00126774265846381,0.00126803276645847,0.0030133357625232,0.00308318714207221,0.00307673598520983
52,40189,31453,16015,22,139,99,0.00345865784169798,0.00314755349251264,0.00137371214486419,0.00296610652885679,87657,260,0.182700754075544,0.358819033277434,0.458480212647022,0.00402175254418638,0.00405482889967817,0.00413411075799553,0.0034744440611129,0.00339651721717195,0.00343575699386669,0.0014749996288146,0.00142775248385236,0.00141414565844245,0.00334259974479749,0.00332904171624487,0.00337952011195971
53,35102,25714,12978,24,155,94,0.00441570280895675,0.00365559617329081,0.00184928340268146,0.00369948776323278,73794,273,0.175867956744451,0.348456514079735,0.475675529175814,0.00450101364720474,0.00466413548506505,0.00469236895985241,0.0034578106930513,0.00355186712898888,0.00355762538191304,0.00158036204231674,0.00154694183301118,0.0015112289393301,0.00363118964141393,0.00372633147756205,0.00373668167860141
54,34644,24928,11857,18,195,89,0.00562868029095947,0.00357028241335045,0.00151809057940457,0.00422797463215221,71429,302,0.165997004017976,0.348989906060564,0.48501308992146,0.00546964026380402,0.00535814249481401,0.00536836823552702,0.00372334663280242,0.00372449179957831,0.00376774551169565,0.00158546382790218,0.00155899250112677,0.00157548450953588,0.00420520504647474,0.00415467184199729,0.00417757631062945
55,31267,22565,10799,15,199,89,0.00636453769149583,0.00394416131176601,0.00138901750162052,0.00468815274403924,64631,303,0.167087001593662,0.349135863594869,0.483777134811468,0.00610377357343327,0.006082826726702,0.0060192914930958,0.0039923180728812,0.00402687760651976,0.00403175043283591,0.00151115163316138,0.00162051919446968,0.00165240133590602,0.0046276208381032,0.004651725612329,0.00463357066730296
56,32763,22633,9838,16,207,101,0.00631810273784452,0.00446251049352715,0.00162634681845904,0.00496673513811816,65234,324,0.150810926817304,0.346950976484655,0.502238096698041,0.0066750663428687,0.0066169052577714,0.00664903324993121,0.00436496811387565,0.00434388189240966,0.0043423509052302,0.00176494212234549,0.0017776923121216,0.00179721422679809,0.00512235095240906,0.00509431454758259,0.00511817977448131
57,31869,21330,8774,20,234,100,0.00734255859926574,0.0046882325363338,0.00227946204695692,0.00571216497506979,61973,354,0.141577783873622,0.344182143836832,0.514240072289545,0.00707187585701223,0.00724736776532022,0.00725210185317508,0.00467435949047212,0.00465629321676117,0.00460963944797913,0.00205698318085793,0.001993431173803,0.00194782574294044,0.0055329718522355,0.00560849916353235,0.00558963301368717
58,32429,21345,8388,19,245,104,0.00755496623392642,0.0048723354415554,0.00226514067715784,0.00592001544351855,62162,368,0.134937743315852,0.343376982722564,0.521685273961584,0.00799516109607974,0.00789203253643361,0.00802433214058174,0.00492955204593573,0.00482874323476657,0.00484500491610812,0.00215836821820556,0.00207235374289671,0.00204819170720018,0.00617017468595248,0.00606608532994659,0.00614010793347386
59,30810,19510,7252,14,280,102,0.00908795845504706,0.00522808815991799,0.00193050193050193,0.00687834363926909,57572,396,0.125964010282776,0.338880011116515,0.535155978600709,0.00860906065620887,0.00893359611999138,0.00889539498857315,0.00488231816789187,0.00504997829679662,0.00504064351783179,0.00200170982962663,0.00207879020490083,0.00208257470670362,0.00649510945165178,0.00674573930694264,0.00672724625403787
60,33209,21115,7737,14,305,96,0.00918425727965311,0.00454653090220223,0.00180948688122011,0.00668696927216771,62061,415,0.124667665683763,0.340229773932099,0.535102560384138,0.0101965666076855,0.00986055630929447,0.00988503660713012,0.00533806467656226,0.00524320902193217,0.00531801328540369,0.00207629256687031,0.00209658017231333,0.00217495838811457,0.00757193378322367,0.00736991412522438,0.00743100717527726
61,26710,16187,5625,14,329,101,0.0123174840883564,0.00623957496756657,0.00248888888888889,0.0091504884382342,48522,444,0.115926796092494,0.333601253039858,0.550471950867648,0.010776041663989,0.0108609573921045,0.0107099958165155,0.00550924422134239,0.00566085253748226,0.00566249718084232,0.00221173812044305,0.00234950478712953,0.00237434329989858,0.00804269914079768,0.00817736809366477,0.00810910775275289
