"Edad","esc_bajo","esc_medio","esc_alto","alta","baja","media","mx_bajo","mx_medio","mx_alto","mx_st","esc_totales","totales","prop_alto","prop_medio","prop_bajo","mx_bajo_1","mx_bajo_2","mx_bajo_3","mx_medio_1","mx_medio_2","mx_medio_3","mx_alto_1","mx_alto_2","mx_alto_3","mx_st_1","mx_st_2","mx_st_3"
25,22407,50677,37675,21,47,108,0.00209755879858973,0.00213114430609547,0.000557398805573988,0.00158903565398749,110759,176,0.340152944681696,0.457542953620022,0.202304101698282,0.00209755879858973,0.00209755879858973,0.00209755879858973,0.00213114430609547,0.00213114430609547,0.00213114430609547,0.000557398805573988,0.000557398805573988,0.000557398805573988,0.00158903565398749,0.00158903565398749,0.00158903565398749
26,24954,51601,38108,19,43,105,0.0017231706339665,0.00203484428596345,0.000498582974703474,0.00145644192110794,114663,167,0.332347836704081,0.450023111204137,0.217629052091782,0.0017955334682627,0.0018468631909874,0.0018848655268658,0.00206734154269832,0.00207538293893147,0.00208938158655745,0.000513336295265124,0.000528512570616412,0.000532771494654724,0.00149292293347932,0.00151177605080318,0.00152738164028441
27,28738,55500,39254,19,45,113,0.00156587097223189,0.00203603603603604,0.000484027105517909,0.00143329122534253,123492,177,0.317866744404496,0.44942182489554,0.232711430699964,0.00164749730610977,0.00171017459102028,0.00175265615823449,0.00202766296800063,0.00206161751464542,0.00206992723216186,0.000514802611010124,0.000512403107773771,0.00051959812007604,0.00145336956494275,0.00148133321606255,0.00149650575991138
28,29635,55663,39160,22,49,112,0.00165345031213093,0.00201210858200241,0.000561797752808989,0.00147037554837777,124458,183,0.314644297674718,0.447243246717768,0.238112455607514,0.00168749299868838,0.00170093069269579,0.00172881278708614,0.0020898480332373,0.00207278124290869,0.00209012121294984,0.000509070417046065,0.000517878681837938,0.000515554182018817,0.0014977071497656,0.00149640801286839,0.00150962108413311
29,28755,54020,37392,18,53,120,0.00184315771170231,0.00222139948167345,0.000481386392811297,0.00158945467557649,120167,191,0.311166959314953,0.449541055364618,0.239291985320429,0.00176780177328921,0.00177533307754234,0.00176505475216368,0.00210083272748814,0.00213596488129541,0.00213362246793096,0.000529763017457624,0.000516380756444744,0.000519676146224493,0.00153814732389682,0.00155112202346839,0.00154931360633206
30,32101,56066,36623,20,58,116,0.00180679729603439,0.00206899011878857,0.000546104906752587,0.0015546117477362,124790,194,0.293477041429602,0.449282795095761,0.257240163474637,0.00187070446064945,0.0018189004862529,0.00181208927191475,0.0022172138831608,0.00219212127958878,0.00219500654971109,0.000510308834830542,0.000524769000390797,0.000520761076093231,0.00161751159674276,0.00160041078265939,0.00159921372106452
31,28540,51244,33768,17,56,121,0.00196215837421163,0.00236125204902037,0.000503435204927742,0.0017084683669156,113552,194,0.297379174299,0.451282231928984,0.251338593772016,0.00181819522482003,0.00184203425194902,0.00183757762965703,0.00225831722811739,0.00225693348824907,0.00224696752669175,0.000534235148884224,0.000521133471444154,0.000521902194366504,0.0016455734273386,0.00164610835706579,0.00164251603293907
32,33222,53738,32540,18,56,126,0.00168563000421408,0.00234470951654323,0.000553165334972342,0.00167364016736402,119500,200,0.272301255230126,0.449690376569038,0.278008368200837,0.00183720307037759,0.00185179815076918,0.00188075716652859,0.00229526935346902,0.0022918478122374,0.00229076359071274,0.000518856430617696,0.000519804111264562,0.00051767791173732,0.00167524004711599,0.00168102895909203,0.00168792289963681
33,33265,54591,32002,16,62,119,0.00186382083270705,0.00217984649484347,0.000499968751953003,0.00164361160706836,119858,197,0.266999282484273,0.455463965692736,0.277536751822991,0.00189999615710991,0.00194843909686759,0.00195413113463746,0.00232195685512577,0.00232350947165175,0.00232919564723549,0.000506320754291767,0.000512096152503244,0.000517315653444056,0.00172227340282148,0.00173663138275262,0.00174263226937417
34,33480,53250,30054,14,72,130,0.0021505376344086,0.00244131455399061,0.000465828175949957,0.00184956843403206,116784,216,0.257346896835183,0.455969995889848,0.286683107274969,0.00210811806311527,0.00206215615627562,0.00206149308998002,0.00235330220636046,0.00237222965781733,0.00237449847159418,0.000511111272600268,0.000520046696564363,0.000524584306314141,0.00181238069832038,0.00181023646627787,0.00181114030267531
